hallgatoid	vizsgaid	jeldatum	ledatum	igazolt	jegy
SJ.3347	244	2006.12.15			4
SÖ.4080	194	2006.12.15			1
BÉ.6108	188	2006.12.15			3
KV.6227	114	2006.12.15		-1	
SP.6924	342	2006.12.15			1
SP.6924	97	2006.12.15			4
KZ.0655	213	2006.12.15	2006.12.16		
PD.1010	432	2006.12.15	2006.12.15		
ÁS.7670	159	2006.12.15			5
BB.6597	402	2006.12.15			4
KL.2811	423	2006.12.15			3
LO.6456	119	2006.12.15			3
PB.8902	215	2006.12.15	2006.12.15		
TÁ.5800	433	2006.12.15			1
HI.0471	238	2006.12.15	2006.12.17		
UD.6021	257	2006.12.15	2006.12.16		
JP.2869	400	2006.12.15			2
KV.7158	110	2006.12.15	2006.12.18		
FA.7252	388	2006.12.15			5
KG.2937	415	2006.12.15			3
HÁ.9604	262	2006.12.15			
ZB.0230	344	2006.12.15			3
VE.3175	421	2006.12.16	2006.12.17		
DR.0586	17	2006.12.16			2
SL.0974	47	2006.12.16			3
CI.3333	183	2006.12.16			4
DP.2664	42	2006.12.16		-1	
KT.7545	379	2006.12.16	2006.12.16		
KR.2297	358	2006.12.16			1
MR.4488	417	2006.12.16	2006.12.18		
FV.9396	344	2006.12.16			4
PC.4269	343	2006.12.16			1
VZ.0162	280	2006.12.16	2006.12.20		
KÁ.8010	355	2006.12.16			5
KÁ.8010	298	2006.12.16			
SK.9881	197	2006.12.16			
SK.9881	96	2006.12.16			1
FI.4848	29	2006.12.16			1
SI.5869	327	2006.12.16			
RV.2715	308	2006.12.16			1
NF.2425	297	2006.12.16			3
RI.9112	190	2006.12.16		-1	
GA.5549	253	2006.12.16			3
KL.4494	208	2006.12.16			3
BD.8119	251	2006.12.16			3
HR.5369	70	2006.12.16			
MÉ.0065	77	2006.12.16		-1	
TV.2732	140	2006.12.16	2006.12.20		
PK.9395	184	2006.12.16			3
MZ.4492	381	2006.12.16			1
LZ.3412	260	2006.12.16			1
VG.7645	366	2006.12.16	2006.12.17		
FA.2291	291	2006.12.16	2006.12.18		
HK.4101	352	2006.12.16			2
SZ.3537	279	2006.12.16			1
WA.7808	298	2006.12.16			1
NE.8938	87	2006.12.16	2006.12.18		
DO.7540	277	2006.12.16			3
SZ.1507	47	2006.12.16			3
SZ.8420	236	2006.12.16			1
DT.2128	100	2006.12.16			
PÁ.8866	141	2006.12.16			2
KB.0973	78	2006.12.16			2
RK.5679	398	2006.12.16		-1	
MG.2583	305	2006.12.16	2006.12.17		
RÁ.9031	409	2006.12.16			3
NA.3383	63	2006.12.16			1
SR.3743	386	2006.12.16		-1	
KO.6867	320	2006.12.16			1
SV.4386	295	2006.12.16			3
BR.2130	362	2006.12.16			2
NÁ.0883	214	2006.12.16			2
LP.3065	159	2006.12.16			2
KZ.3839	173	2006.12.16		-1	
BK.2795	196	2006.12.16			1
KM.9421	389	2006.12.16			2
LE.1664	47	2006.12.16			2
TD.0542	254	2006.12.16			1
FA.7252	237	2006.12.16	2006.12.16		
VZ.2157	18	2006.12.16			
KV.5448	195	2006.12.16		-1	
ZK.0196	364	2006.12.16			2
TÁ.6462	159	2006.12.16			3
NÁ.8086	96	2006.12.16			3
SK.8056	116	2006.12.16			2
KO.7409	226	2006.12.16	2006.12.18		
SA.2066	404	2006.12.16			1
VS.7756	62	2006.12.17		-1	
SZ.2526	157	2006.12.17			5
DP.2664	54	2006.12.17			1
PZ.1760	325	2006.12.17			4
SA.3491	444	2006.12.17			
KT.5463	58	2006.12.17			4
KT.5463	98	2006.12.17		-1	
BT.1841	357	2006.12.17			4
BP.4530	221	2006.12.17			1
SB.1519	215	2006.12.17		-1	
NI.0775	264	2006.12.17		-1	
SZ.3265	355	2006.12.17			3
BA.7082	287	2006.12.17			3
GD.2662	365	2006.12.17		-1	
GP.7213	157	2006.12.17			3
RI.3240	66	2006.12.17	2006.12.17		
BC.6620	439	2006.12.17			2
SK.7904	442	2006.12.17	2006.12.20		
SP.7024	4	2006.12.17			2
SP.7024	51	2006.12.17			1
BP.1705	221	2006.12.17			4
OB.8264	54	2006.12.17	2006.12.17		
BD.8119	210	2006.12.17			1
KA.9211	26	2006.12.17			3
LG.7815	32	2006.12.17			3
KZ.5018	7	2006.12.17			2
SM.0077	385	2006.12.17			4
ÖI.7617	386	2006.12.17			
TT.9111	427	2006.12.17			1
LI.5564	130	2006.12.17			1
KT.0459	191	2006.12.17	2006.12.18		
BT.9896	386	2006.12.17			3
JF.5763	322	2006.12.17			5
FZ.2691	37	2006.12.17			1
SA.0726	75	2006.12.17	2006.12.17		
TI.6284	365	2006.12.17		-1	
PG.1224	14	2006.12.17	2006.12.17		
HJ.9546	260	2006.12.17			3
NA.3383	429	2006.12.17			2
NA.3383	335	2006.12.17			
BL.3216	236	2006.12.17			3
CK.7336	13	2006.12.17			4
PR.4192	15	2006.12.17			3
PR.4192	369	2006.12.17			5
NI.0802	29	2006.12.17	2006.12.22		
BJ.3138	222	2006.12.17			1
NE.7433	100	2006.12.17			4
KD.2748	227	2006.12.17	2006.12.17		
VD.4792	32	2006.12.17			5
KN.5091	388	2006.12.17	2006.12.17		
ST.1388	99	2006.12.17			1
FB.6369	94	2006.12.17			3
KG.2937	139	2006.12.17	2006.12.17		
VZ.9407	79	2006.12.17			1
PE.3881	128	2006.12.17			3
KÁ.3479	104	2006.12.17	2006.12.17		
DZ.5170	210	2006.12.17			5
PL.8174	137	2006.12.18			2
SL.7295	35	2006.12.18			1
CI.3333	358	2006.12.18			5
VG.9528	245	2006.12.18			4
MZ.0921	119	2006.12.18			1
HR.4421	264	2006.12.18			2
KP.0837	165	2006.12.18			
NJ.5694	59	2006.12.18			2
KI.1361	179	2006.12.18			3
KL.1723	119	2006.12.18			2
ZE.5201	37	2006.12.18		-1	
TA.1306	24	2006.12.18			1
FN.9800	414	2006.12.18			1
KM.8913	100	2006.12.18	2006.12.19		
BE.1945	443	2006.12.18		-1	
SB.9701	310	2006.12.18			3
HT.7473	75	2006.12.18			
HT.7473	384	2006.12.15	2006.12.17		
BK.9868	430	2006.12.18			4
ZZ.2484	421	2006.12.16			3
NA.4463	130	2006.12.18			1
SA.5243	125	2006.12.18			4
LV.9121	391	2006.12.18			4
KZ.0395	412	2006.12.18			4
CL.7897	300	2006.12.18			4
JA.9259	165	2006.12.18			3
JF.5763	440	2006.12.18			1
SZ.8420	130	2006.12.18			2
BJ.9084	298	2006.12.18			4
TO.7628	259	2006.12.18			1
SI.9506	5	2006.12.18			4
SA.5551	384	2006.12.17			2
BÉ.6108	268	2006.12.18	2006.12.23		
SV.4386	207	2006.12.18			3
SZ.5839	97	2006.12.18			3
HB.5620	322	2006.12.18			4
DZ.0482	399	2006.12.18			1
LA.7899	224	2006.12.18	2006.12.18		
VD.4792	71	2006.12.18			1
ST.1388	288	2006.12.18			3
FA.0859	44	2006.12.18	2006.12.18		
NS.0091	259	2006.12.18			1
VJ.7309	63	2006.12.18			1
KA.5612	370	2006.12.18			2
NÁ.8086	312	2006.12.18	2006.12.19		
SE.4988	330	2006.12.18		-1	
KI.8112	231	2006.12.18			3
SJ.8094	112	2006.12.19			1
BT.4289	36	2006.12.19			4
HO.9226	140	2006.12.19			3
TN.1238	333	2006.12.19	2006.12.21		
TN.1238	11	2006.12.19	2006.12.19		
LN.8991	349	2006.12.17			1
ST.7445	421	2006.12.17		-1	
FB.9611	384	2006.12.16	2006.12.17		
BP.4530	65	2006.12.19	2006.12.21		
SG.6867	8	2006.12.19			4
KE.1884	222	2006.12.19			1
SK.7904	378	2006.12.19			3
RV.2715	323	2006.12.19			3
KD.6239	288	2006.12.19	2006.12.20		
IR.6871	333	2006.12.19			1
GA.5549	35	2006.12.19			3
KL.4494	437	2006.12.19			1
MÉ.0065	251	2006.12.19			1
LG.7815	420	2006.12.19	2006.12.20		
BI.7214	199	2006.12.19			3
CA.0932	107	2006.12.18			2
SZ.7645	343	2006.12.19		-1	
NA.4463	170	2006.12.19	2006.12.21		
MF.5886	148	2006.12.17			2
KO.6324	375	2006.12.19			1
HK.4101	86	2006.12.19			2
EI.6287	17	2006.12.19			3
HE.4604	307	2006.12.19		-1	
HE.4604	221	2006.12.19		-1	
KT.0459	148	2006.12.17			1
KT.0459	82	2006.12.19	2006.12.20		
SZ.1507	49	2006.12.19			1
SZ.8420	334	2006.12.19			5
VE.9558	420	2006.12.19			1
SF.4730	232	2006.12.19	2006.12.21		
CA.0110	408	2006.12.19			3
KS.2599	169	2006.12.19			3
SR.3743	309	2006.12.19	2006.12.19		
KT.8785	42	2006.12.19			4
GG.4642	270	2006.12.19			
GZ.1249	424	2006.12.19			5
FA.4088	434	2006.12.19			1
VI.6465	436	2006.12.19			4
VI.6465	380	2006.12.19			1
FB.3081	369	2006.12.19			4
LA.4055	358	2006.12.19			3
FA.0859	9	2006.12.19			3
SB.7380	209	2006.12.17		-1	
AJ.0935	2	2006.12.20	2006.12.20		
LK.8140	281	2006.12.20			2
BK.0518	58	2006.12.20	2006.12.20		
SN.0628	237	2006.12.17	2006.12.17		
KL.3902	154	2006.12.20			1
TL.5319	324	2006.12.20			5
ZV.6094	127	2006.12.20			1
TR.0881	349	2006.12.17			
CE.9033	266	2006.12.20	2006.12.24		
KP.0837	389	2006.12.20			3
MJ.6976	393	2006.12.20			3
TF.3880	437	2006.12.20			3
SI.5869	35	2006.12.20			3
LO.1112	196	2006.12.20			2
TA.1306	85	2006.12.19			2
EB.5954	358	2006.12.20	2006.12.20		
FR.6982	371	2006.12.20		-1	
VN.5671	112	2006.12.20			3
SO.1532	37	2006.12.20			3
VT.9241	190	2006.12.20			2
CB.9649	379	2006.12.20			1
KB.1173	145	2006.12.20			
SG.0052	235	2006.12.20			1
PP.3278	351	2006.12.20	2006.12.21		
GJ.3600	130	2006.12.20	2007.01.01		
CA.5867	267	2006.12.20			1
JZ.1385	77	2006.12.20	2006.12.20		
KR.8740	159	2006.12.20			2
KM.5655	205	2006.12.20			1
NK.3783	127	2006.12.20			4
ST.9977	274	2006.12.20	2006.12.21		
BR.7690	147	2006.12.20			2
BF.9222	280	2006.12.20	2006.12.20		
BL.4357	318	2006.12.20			1
MR.9395	50	2006.12.20	2006.12.20		
KG.6963	12	2006.12.20			2
LD.8285	268	2006.12.20			1
HI.0471	66	2006.12.20			5
SP.1261	195	2006.12.20	2006.12.21		
TÁ.6462	79	2006.12.20			2
TR.9276	346	2006.12.20			4
PG.8846	299	2006.12.21			1
MZ.6513	237	2006.12.16			1
BM.8747	421	2006.12.17	2006.12.17		
DF.0284	266	2006.12.21	2006.12.26		
DM.1593	145	2006.12.21	2006.12.31		
SP.3373	359	2006.12.17	2006.12.17		
SN.6134	276	2006.12.21			5
KF.4505	402	2006.12.21			1
FR.6982	148	2006.12.16			1
FR.6982	245	2006.12.21			
KN.2792	349	2006.12.16		-1	
FK.2581	33	2006.12.21			3
VG.7645	382	2006.12.21			5
BF.6471	13	2006.12.21			
TT.9111	345	2006.12.21			3
BL.1618	303	2006.12.21			3
SZ.3537	141	2006.12.21	2006.12.22		
HR.9880	214	2006.12.18			1
LC.1783	127	2006.12.21			3
SÁ.1945	330	2006.12.18			5
SP.8177	342	2006.12.21			3
ST.9977	376	2006.12.21			
BK.2557	117	2006.12.21			2
SB.5954	279	2006.12.18	2006.12.18		
MG.0051	160	2006.12.21			3
DF.9341	39	2006.12.19			4
HI.5860	379	2006.12.21	2006.12.25		
VD.4792	393	2006.12.21	2006.12.23		
HG.8463	296	2006.12.21			1
ET.9171	77	2006.12.21			3
AZ.4317	203	2006.12.21			1
FA.0859	88	2006.12.21			1
LE.1664	34	2006.12.21			4
BD.1068	412	2006.12.19			1
SZ.3418	315	2006.12.21	2006.12.24		
KV.5448	27	2006.12.18			4
CA.3447	93	2006.12.21			1
SK.8056	124	2006.12.21	2006.12.28		
DN.4292	409	2006.12.21		-1	
SA.2066	327	2006.12.21			2
EA.6644	128	2006.12.22			1
BK.0518	60	2006.12.22			1
SZ.2526	104	2006.12.18			1
SL.0974	280	2006.12.22			1
HO.9226	43	2006.12.22			2
SG.2482	20	2006.12.22	2006.12.22		
SA.3491	367	2006.12.22			1
ST.7445	129	2006.12.22			1
EH.0733	98	2006.12.22			2
VA.0512	221	2006.12.22			1
WT.5063	125	2006.12.22	2006.12.23		
WT.5063	372	2006.12.16	2006.12.16		
NK.4348	349	2006.12.15		-1	
MP.1548	247	2006.12.22			1
BC.6620	392	2006.12.22			
HZ.5970	171	2006.12.20			3
KF.4505	88	2006.12.22			2
TL.8183	134	2006.12.17			3
BA.2113	191	2006.12.22			5
JT.5373	266	2006.12.22			4
VF.7140	94	2006.12.22			1
VF.7140	378	2006.12.22			1
BP.9080	341	2006.12.15	2006.12.15		
SM.0077	185	2006.12.22			5
TP.6487	79	2006.12.22			1
HE.4604	395	2006.12.17			1
FM.2056	334	2006.12.22			3
GA.5664	243	2006.12.22	2007.01.01		
KP.2242	90	2006.12.22			1
TM.7445	261	2006.12.22			1
SÁ.1945	232	2006.12.21			4
HR.6312	227	2006.12.22	2006.12.22		
KV.6227	431	2006.12.22			3
TB.5503	297	2006.12.22			4
JZ.1385	262	2006.12.22			1
KR.8740	323	2006.12.22			3
TA.0240	295	2006.12.22			1
FA.4088	127	2006.12.22			1
HN.3762	368	2006.12.20			1
HA.2913	270	2006.12.22			3
BV.1252	98	2006.12.22			2
JZ.0375	32	2006.12.22			4
KN.5091	14	2006.12.22			2
JA.1261	66	2006.12.22			3
KT.3375	296	2006.12.22			3
VZ.2157	301	2006.12.22		-1	
ZK.0196	6	2006.12.19			3
KG.5759	33	2006.12.22			4
NÁ.8086	157	2006.12.22	2006.12.22		
BÉ.5035	361	2006.12.22			2
ZB.0230	32	2006.12.22	2006.12.23		
MM.7225	438	2006.12.23			3
EA.6644	260	2006.12.23		-1	
SE.5166	398	2006.12.16		-1	
HA.6109	45	2006.12.23	2006.12.24		
HA.6109	204	2006.12.17			3
SZ.2526	72	2006.12.23			2
KL.3902	20	2006.12.23			5
MR.4488	320	2006.12.16			1
GN.4133	22	2006.12.23		-1	
RI.3240	192	2006.12.23			3
KÁ.7195	95	2006.12.23			
WZ.8323	370	2006.12.23			1
SB.4943	84	2006.12.18			3
BR.7944	410	2006.12.23			4
BE.4516	107	2006.12.16	2006.12.18		
JT.5373	3	2006.12.18			4
DH.0622	48	2006.12.23			3
GK.1748	156	2006.12.23		-1	
NI.9715	300	2006.12.23			1
BT.7290	365	2006.12.18			4
VK.1033	94	2006.12.23			4
VG.7645	142	2006.12.16			2
SG.0052	430	2006.12.23	2006.12.25		
SA.5243	154	2006.12.23			1
BC.3256	368	2006.12.20	2006.12.20		
VV.8246	416	2006.12.23		-1	
FE.7877	389	2006.12.23			1
BL.1618	412	2006.12.17			2
HE.4604	86	2006.12.23	2006.12.25		
MR.6252	307	2006.12.23		-1	
SÁ.1945	420	2006.12.23			1
SI.9506	128	2006.12.23			
GL.2493	409	2006.12.23			2
KV.6227	54	2006.12.23			4
RL.4390	337	2006.12.18			1
MR.2266	74	2006.12.18			3
KR.8740	203	2006.12.23	2006.12.26		
PR.4192	90	2006.12.23			2
SG.4984	38	2006.12.23			4
HN.3762	330	2006.12.20			4
NÁ.0883	9	2006.12.23			1
PZ.5131	165	2006.12.23			2
NE.7433	423	2006.12.23			1
BK.2795	257	2006.12.23			2
VM.4330	203	2006.12.23			2
KÁ.3479	268	2006.12.23			2
NÁ.8086	90	2006.12.23	2006.12.26		
GF.0541	375	2006.12.23			3
MM.7225	330	2006.12.18			3
SJ.8094	34	2006.12.24			3
AJ.0935	316	2006.12.24		-1	
SZ.2526	261	2006.12.24			5
VK.5984	222	2006.12.24			1
BE.0864	153	2006.12.24			4
BJ.2171	432	2006.12.24		-1	
ZV.6094	87	2006.12.24			4
LG.7708	134	2006.12.17			4
MV.6897	427	2006.12.24			1
MV.6897	2	2006.12.24	2006.12.25		
FB.9611	235	2006.12.24			2
FB.9611	80	2006.12.24			5
MZ.0921	389	2006.12.24	2006.12.25		
HR.4421	104	2006.12.19			1
SZ.3265	429	2006.12.24			3
MP.1548	360	2006.12.24			4
ZE.5201	4	2006.12.24			4
HF.1310	14	2006.12.24			1
HF.1310	78	2006.12.17			1
MN.9696	211	2006.12.24			5
LG.2970	410	2006.12.24			4
SB.9363	38	2006.12.24	2006.12.26		
LZ.5815	11	2006.12.24		-1	
BE.1945	44	2006.12.24			3
ZM.2168	236	2006.12.24			5
SA.3924	51	2006.12.24			1
BO.5754	20	2006.12.24	2006.12.25		
VF.7140	384	2006.12.16			1
HD.9079	313	2006.12.20			2
DT.8003	172	2006.12.24			1
GF.0708	237	2006.12.17			2
UI.5361	389	2006.12.24			4
SO.1532	55	2006.12.24			5
BF.6471	42	2006.12.24	2006.12.28		
NA.4463	8	2006.12.24	2006.12.26		
MF.5886	384	2006.12.17			3
BB.8483	270	2006.12.24			1
SZ.3537	277	2006.12.19			
NN.1936	394	2006.12.24			2
PN.4200	155	2006.12.24	2006.12.25		
SZ.8420	168	2006.12.20			1
SZ.8420	381	2006.12.18	2006.12.19		
VE.9558	208	2006.12.24			2
VE.9558	367	2006.12.24			1
KK.6853	199	2006.12.24			2
DP.8019	343	2006.12.24	2006.12.25		
SÖ.4080	76	2006.12.24			3
LC.1783	45	2006.12.24			3
SÁ.1945	324	2006.12.24			3
CC.8149	369	2006.12.24			1
SP.8177	123	2006.12.17		-1	
SF.4730	73	2006.12.24			1
KG.9667	162	2006.12.24			
PD.1010	219	2006.12.24			
PR.2086	220	2006.12.24	2007.01.02		
BG.0584	385	2006.12.24			4
VP.4293	91	2006.12.24			2
KT.8785	252	2006.12.16			2
TS.7842	358	2006.12.24	2006.12.24		
HB.5620	387	2006.12.24			2
PJ.2796	202	2006.12.24			2
BR.7690	336	2006.12.24		-1	
SJ.5290	343	2006.12.24			4
TÁ.5800	97	2006.12.24	2006.12.25		
ÁP.8870	332	2006.12.24			2
BV.1252	138	2006.12.24			3
BL.2493	433	2006.12.24		-1	
LE.1664	126	2006.12.18			1
SP.1261	259	2006.12.24			1
JP.2869	344	2006.12.24			1
VZ.2157	239	2006.12.17			5
KA.5612	345	2006.12.24			2
HD.3180	34	2006.12.24			3
KN.4319	319	2006.12.25			2
DR.0586	308	2006.12.25			1
ÖK.7126	346	2006.12.25			4
IB.7575	310	2006.12.25			3
VP.1210	308	2006.12.25			
PZ.1760	86	2006.12.25			4
HA.5132	179	2006.12.20		-1	
KN.8193	346	2006.12.25	2006.12.25		
NJ.5694	292	2006.12.25			4
MP.1548	105	2006.12.15			3
TZ.5158	126	2006.12.19			1
VK.6810	379	2006.12.25			2
SD.4324	144	2006.12.25	2006.12.25		
JE.5179	320	2006.12.18			
GA.7092	415	2006.12.25			
SB.9701	189	2006.12.25	2006.12.27		
BE.5502	342	2006.12.21	2006.12.21		
BD.2876	303	2006.12.25			1
LZ.3412	320	2006.12.16		-1	
FM.2490	106	2006.12.25			1
KJ.0231	187	2006.12.25	2006.12.26		
BD.5403	409	2006.12.25			3
ZZ.2484	4	2006.12.25			2
KB.1173	304	2006.12.25			2
BC.3256	245	2006.12.25			3
FE.7877	421	2006.12.15			3
RN.8935	316	2006.12.25			1
BM.2708	266	2006.12.25			2
BV.6067	130	2006.12.25		-1	
SA.0726	308	2006.12.25		-1	
NB.3720	166	2006.12.25			3
SE.8312	278	2006.12.25			2
SP.8177	207	2006.12.18			3
VA.2259	419	2006.12.25			
KA.3780	141	2006.12.25	2006.12.25		
RL.4390	209	2006.12.17			3
KG.9667	32	2006.12.25			1
CA.0110	442	2006.12.25			3
KM.5655	71	2006.12.25	2006.12.26		
BÉ.6009	333	2006.12.25			2
PR.4192	364	2006.12.25			3
MG.0051	232	2006.12.20			
MP.1869	197	2006.12.25			4
SK.0547	211	2006.12.25		-1	
HE.1802	104	2006.12.20			2
NE.7433	303	2006.12.25	2006.12.26		
KD.2748	327	2006.12.25			3
VD.4792	224	2006.12.20			1
JA.1261	225	2006.12.25			3
IB.2626	378	2006.12.25	2006.12.30		
KB.7935	32	2006.12.25			1
KL.0128	107	2006.12.17			1
NS.0091	292	2006.12.25			2
TD.0542	106	2006.12.25			3
VZ.9407	432	2006.12.25			4
TÁ.6462	26	2006.12.25			3
SA.2066	210	2006.12.25	2006.12.25		
ZB.0230	199	2006.12.25	2006.12.26		
KA.2208	51	2006.12.26	2006.12.26		
SN.0628	43	2006.12.26			1
KK.6508	189	2006.12.26		-1	
PZ.1760	335	2006.12.26			2
VA.0512	278	2006.12.26			1
BP.4530	399	2006.12.26			4
WT.5063	54	2006.12.26			3
SZ.3265	219	2006.12.26	2006.12.27		
ZE.5201	331	2006.12.26	2007.01.01		
HF.1310	52	2006.12.26			2
JR.7464	291	2006.12.17			2
LL.5799	81	2006.12.26	2006.12.27		
GK.1748	59	2006.12.26			1
TV.2732	68	2006.12.26			1
BD.2876	117	2006.12.26			1
BD.2876	26	2006.12.26	2006.12.27		
GF.0708	11	2006.12.26			2
JF.5515	362	2006.12.26			2
SZ.7645	388	2006.12.26	2006.12.27		
BD.5403	167	2006.12.26			
KB.1173	159	2006.12.26			1
KE.7992	179	2006.12.19			3
SD.3531	88	2006.12.26			3
DD.1368	49	2006.12.26	2007.01.09		
BB.8483	196	2006.12.26	2006.12.28		
BB.8483	266	2006.12.26			1
SZ.8420	416	2006.12.26	2006.12.27		
TI.6284	269	2006.12.26	2006.12.26		
TV.0831	170	2006.12.26			1
PÁ.8866	417	2006.12.26			2
