id	pizzaid	darab	cimid	szallitas
307	101	2	301	19:35:00
308	14	1	157	19:35:00
309	28	2	215	19:35:00
310	4	1	89	19:35:00
311	82	1	246	19:35:00
312	110	1	258	19:35:00
313	77	1	311	19:35:00
314	68	1	180	19:35:00
315	115	1	372	19:35:00
316	59	1	310	19:35:00
317	61	1	384	19:35:00
318	101	1	216	19:35:00
319	40	1	8	19:35:00
320	77	3	98	19:35:00
321	37	1	188	19:35:00
322	20	1	322	19:35:00
323	46	1	254	19:35:00
324	64	1	307	19:40:00
325	36	1	57	19:40:00
326	101	1	345	19:40:00
327	61	1	51	19:40:00
328	34	1	323	19:40:00
329	95	3	253	19:45:00
330	89	1	335	19:45:00
331	87	2	141	19:45:00
332	12	2	268	19:50:00
333	21	1	271	19:55:00
334	42	1	83	19:55:00
335	37	2	130	20:00:00
336	83	2	17	20:05:00
337	65	1	33	20:05:00
338	55	1	151	20:10:00
339	87	2	303	20:10:00
340	67	1	318	20:10:00
341	64	2	41	20:10:00
342	109	1	300	20:15:00
343	80	2	383	20:15:00
344	16	2	199	20:20:00
345	60	2	331	20:25:00
346	11	1	208	20:25:00
347	52	3	364	20:30:00
348	16	1	326	20:30:00
349	110	1	294	20:30:00
350	5	1	85	20:35:00
351	7	1	313	20:35:00
352	93	1	132	20:40:00
353	50	3	67	20:45:00
354	68	1	209	20:45:00
355	3	1	154	20:45:00
356	50	3	241	20:45:00
357	102	1	55	20:45:00
358	116	1	200	20:45:00
359	70	1	62	20:45:00
360	10	1	338	20:45:00
361	35	2	1	20:45:00
362	60	1	275	20:45:00
363	115	1	166	20:45:00
364	7	1	357	20:45:00
365	40	1	129	20:45:00
366	98	1	233	20:45:00
367	40	2	272	20:50:00
368	28	1	182	20:55:00
369	2	1	353	20:55:00
370	111	2	196	20:55:00
371	2	1	220	20:55:00
372	82	1	205	20:55:00
373	11	3	303	20:55:00
374	11	1	4	20:55:00
375	53	1	101	21:00:00
376	19	1	349	21:00:00
377	97	1	374	21:00:00
378	9	1	342	21:05:00
379	2	1	227	21:10:00
380	59	1	45	21:10:00
381	6	1	249	21:10:00
382	57	1	327	21:10:00
383	87	3	262	21:15:00
384	38	3	356	21:15:00
385	36	2	7	21:15:00
386	104	3	63	21:15:00
387	23	1	226	21:15:00
388	39	2	261	21:15:00
389	24	1	36	21:15:00
390	68	1	110	21:15:00
391	36	2	242	21:15:00
392	96	1	203	21:15:00
393	94	2	329	21:15:00
394	8	1	224	21:15:00
395	66	1	11	21:15:00
396	3	1	11	21:15:00
397	112	1	143	21:20:00
398	1	2	4	21:20:00
399	64	1	320	21:20:00
400	97	3	211	21:20:00
401	80	1	74	21:25:00
402	66	1	281	21:25:00
403	37	1	178	21:30:00
404	79	1	10	21:40:00
405	41	2	10	21:40:00
406	66	1	13	21:45:00
407	37	2	354	21:50:00
408	73	1	370	21:50:00
409	93	1	35	21:50:00
410	24	1	295	21:55:00
411	22	1	304	21:55:00
412	16	1	250	21:55:00
413	35	1	163	21:55:00
414	4	3	299	21:55:00
