mennyiseg;egyseg;etelid;hozzavaloid
1;db;54;3
1;szál;115;32
30;dkg;66;135
4;gerezd;86;56
;;89;5
;;67;118
6;gerezd;100;56
70;dkg;54;2
;;107;20
5;fej;33;11
;;17;100
25;dkg;95;175
;;18;34
;;67;182
3;ek.;28;13
;;91;87
3;dl;113;15
3;evőkanál;103;37
1;;7;105
1;evőkanál;24;5
;;41;8
;;52;5
30;dkg;95;9
15;dkg;34;91
2;fej;38;11
;;110;14
20;dkg;91;183
;;9;72
1;l;112;78
2;dkg;59;13
;;94;34
1;kávéskanál;79;8
25;dkg;81;15
;;35;28
3;dl;32;216
40;dkg;96;12
2;dl;69;115
50;dkg;6;1
1;evőkanál;57;13
;;28;62
;;7;115
1;dkg;109;13
2;dl;26;19
;;17;8
2;dl;42;49
1;kg;39;149
10;dkg;61;196
1;evőkanál;57;2
5;dkg;80;133
2;dkg;69;13
2;gerezd;116;56
2;gerezd;37;56
;;66;5
;;16;106
1;;12;105
1;dkg;98;13
2;gerezd;73;56
2;;66;32
;;48;14
;;71;18
1;mokkáskanál;64;34
;;75;35
;;81;14
2;;20;168
;;37;72
35;dkg;31;166
;;67;14
;;100;5
2;dl;18;103
;;38;130
;;96;96
2;dkg;4;13
2;dl;48;49
2;dl;102;19
1;;12;104
;;81;13
;;65;190
3;;71;3
;;51;5
3;dkg;18;13
;;96;161
;;84;5
;;83;118
;;115;88
;;94;2
10;dkg;25;141
;;67;5
2;fej;18;11
;;116;96
12;dkg;95;13
;;90;2
1,2;l;43;209
40;dkg;89;27
2;dl;110;103
1;evőkanál;64;37
;;22;106
;;113;5
;;97;5
;;32;5
3;dkg;37;69
2;dkg;80;13
;;30;158
;;93;46
;;31;118
50;dkg;74;18
20;dkg;19;206
70;dkg;25;59
;;9;45
40;dkg;18;204
25;dkg;100;13
1;fej;94;11
;;97;62
2;fej;12;11
;;91;121
;;63;8
4;dl;73;6
8;kanál;30;13
3;;91;184
2;kávéskanál;53;34
3;dl;92;15
1;kávéskanál;64;36
30;dkg;51;2
25;dkg;38;83
;;107;195
40;dkg;41;132
;;43;23
1;fej;89;11
1;;72;125
;;69;96
;;39;96
5;;33;122
8;húsos;88;105
;;31;5
2;;20;3
2;gerezd;19;56
2;;64;35
;;53;5
5;fej;22;11
40;dkg;115;82
2;fej;80;11
5;dkg;37;67
10;dkg;31;86
;;79;34
2;dl;54;6
2;dl;57;19
15;dkg;68;91
50;dkg;90;67
1;dl;53;136
3;dl;24;6
1;kávéskanál;54;8
12;dkg;111;203
1;fej;39;11
;;115;2
1;gerezd;9;56
;;87;2
50;dkg;49;166
;;69;121
1;dl;36;102
;;116;8
6;evőkanál;78;218
1;fej;85;11
;;34;14
2;dl;67;19
20;dkg;26;91
1;dkg;12;13
;;76;34
2;kávéskanál;110;2
;;22;45
1;;5;143
2;dl;116;19
2;;103;104
;;37;70
2;db;2;105
1;;53;127
1;;66;11
10;dkg;19;26
50;dkg;61;151
1;fej;73;11
1;evőkanál;26;2
;;107;45
1;kg;95;1
;;43;34
1;fej;37;68
1;fej;43;11
2;dkg;40;2
;;1;46
2;teáskanál;54;5
50;dkg;11;207
40;dkg;79;1
;;12;34
;;22;5
16;dkg;87;91
25;dkg;84;9
5;dkg;52;13
2;dkg;38;13
8;szelet;67;86
;;66;33
20;dkg;53;11
10;dkg;3;54
2;dkg;64;13
2;;98;105
5;dkg;78;219
2;evőkanál;30;34
15;dkg;44;173
;;68;5
10;dkg;101;54
;;76;5
1;;25;104
50;dkg;101;51
;;90;97
10;dkg;54;1
20;dkg;91;179
2;dl;46;19
1;;95;3
;;65;2
4;szelet;111;200
10;dkg;109;29
1;;109;105
;;16;107
;;86;8
;;107;5
1;szál;37;65
;;66;127
;;102;230
35;dkg;105;228
10;dkg;61;83
;;62;112
;;44;175
2;dkg;29;13
4;szelet;107;187
;;110;61
;;67;34
1;fej;56;119
8;;9;3
;;95;5
3;;38;129
2;dkg;89;13
1;fej;69;11
2;dkg;90;13
2;fej;76;11
1;;36;3
;;11;8
;;7;38
;;5;14
;;49;13
25;dkg;25;140
10;dkg;46;90
;;33;30
15;dkg;33;89
2;dkg;54;7
2;;83;104
;;23;5
;;66;81
2;;33;66
15;teáskanál;20;8
2;dkg;17;20
1;fej;47;11
2;dl;18;19
5;dkg;76;13
2;dl;94;103
2;ek;28;2
;;14;156
2;fej;115;11
20;dkg;91;180
40;dkg;19;200
1;szál;115;85
;;79;2
15;dkg;45;20
15;dkg;33;119
;;71;194
2;fej;83;11
1;kávéskanál;103;34
1;evőkanál;54;4
;;102;13
3;;2;3
;;80;35
1;;96;105
1;;72;32
;;86;57
2;;40;98
;;33;124
30;dkg;48;12
5;dkg;36;20
35;dkg;31;164
0,5;kg;43;1
;;9;5
20;dkg;92;27
;;112;5
5;dkg;46;27
;;88;34
1;dl;19;147
;;65;13
25;dkg;80;132
3;dkg;22;13
50;dkg;12;1
1;liter;20;167
;;39;5
;;69;87
2;dkg;27;13
;;91;107
;;100;39
2;gerezd;80;56
;;31;14
3;dkg;16;13
30;dkg;16;1
1;evőkanál;86;13
5;dkg;42;20
0,5;kg;45;59
4;szelet;14;155
;;109;5
2;dl;38;115
4;fej;98;11
;;64;38
;;80;45
10;dkg;33;12
1;evőkanál;25;34
2;;41;35
3;db;51;3
;;45;14
;;94;14
1;csipet;101;52
5;dkg;40;65
12;szál;62;109
;;7;34
;;109;61
;;71;175
1;kg;91;128
1;teáskanál;22;39
2;dl;15;49
;;38;87
;;82;115
;;7;37
1;;72;104
3;dkg;10;13
;;39;34
0,5;kg;69;128
;;4;34
;;7;13
;;22;34
15;dkg;70;91
6;dkg;62;20
2;dkg;41;13
1;kg;34;1
2;fej;2;11
3;szál;20;123
1,5;kg;81;128
;;14;4
;;10;34
3;;13;66
1;szál;9;191
40;dkg;97;149
;;105;14
5;dkg;3;20
1;dl;56;147
2;;91;3
0,5;kg;114;222
;;69;130
;;116;100
;;96;45
;;44;176
;;37;46
15;teáskanál;2;8
4;dl;38;19
3;dkg;24;7
2;;30;104
10;dkg;5;144
60;dkg;22;30
1;;53;104
1;;5;127
0,5;l;3;6
50;dkg;7;55
;;105;5
1;fej;27;11
30;dkg;68;223
4;szelet;65;189
2;dl;45;19
;;83;182
8;dkg;91;185
;;114;5
;;5;72
2;;20;127
;;61;45
15;dkg;103;165
25;dkg;113;12
2;dl;75;19
1;fej;9;11
4;db;74;3
80;dkg;70;154
80;dkg;57;146
1;szál;64;25
4;;84;3
1;csokor;62;110
30;dkg;75;117
;;57;5
100;dkg;55;1
;;11;208
2;fej;57;11
2;;75;1
;;36;5
;;114;14
1;dl;18;136
;;1;45
2;dl;93;19
10;dkg;42;8
2;dl;110;19
;;52;34
;;52;14
5;;33;43
6;gerezd;33;56
40;dkg;67;172
1;fej;5;11
2;dl;100;103
20;dkg;9;192
;;18;5
;;8;5
4;;45;3
10;dkg;45;90
;;89;45
1;evőkanál;11;24
2;dkg;91;13
1;marék;64;33
1;;16;105
2;fej;105;11
;;33;123
10;dkg;98;170
;;39;175
;;115;87
3;db;24;3
;;61;158
;;9;14
;;81;34
30;dkg;72;126
2;dl;106;4
1;fej;63;11
4;dkg;78;36
;;66;34
1;marék;4;47
3;dkg;114;13
1;liter;99;40
5;dkg;47;33
5;dkg;28;60
;;62;5
1;teáskanál;115;8
8;;2;186
;;26;5
3;fej;91;11
2;dkg;46;20
1;;89;3
30;dkg;103;221
2;kis;2;168
40;dkg;8;148
15;dkg;12;131
5;dkg;93;75
2;dl;83;19
;;41;208
2;kávéskanál;46;2
;;62;76
;;75;45
50;dkg;37;30
1;marék;13;47
0,5;l;84;6
60;dkg;87;193
;;105;13
2;teáskanál;37;45
20;dkg;115;83
;;32;13
1;;57;104
3;dl;59;15
;;26;34
;;20;13
2;szál;109;25
2;fej;28;11
2;dl;97;150
1;dl;49;19
;;103;5
1;;22;108
;;47;45
;;2;88
;;19;96
4;levél;91;128
;;86;5
2;dl;11;19
1;db;60;3
;;27;45
5;dkg;106;13
30;dkg;53;29
;;12;5
3;gerezd;30;56
2;fej;26;11
;;20;96
25;dkg;70;151
6;csemege;48;199
1;fej;110;11
2;;22;105
;;61;14
8;fej;67;12
;;73;8
;;30;38
75;dkg;81;172
;;43;8
;;31;34
1;szál;64;32
25;teáskanál;104;8
5;dkg;19;28
;;75;118
2;dl;94;19
6;dkg;22;33
2;dl;1;19
10;;3;226
;;27;34
;;33;45
6;dkg;5;12
50;dkg;106;1
;;7;5
2;dl;90;19
2;dl;69;19
100;dkg;37;64
;;104;5
20;dkg;68;231
1;csokor;28;61
;;14;5
;;33;61
5;gerezd;62;56
1;;46;66
1,5;dl;72;19
;;115;13
4;szelet;94;145
35;dkg;102;91
1;fej;79;11
1;fej;104;22
4;dl;91;19
3;szál;37;25
2;;33;120
30;dkg;114;223
1;fej;15;11
10;dkg;99;8
2;;98;104
;;115;33
4;db;39;74
2;gerezd;112;56
2;;111;3
1;mokkáskanál;72;34
;;5;46
1;;109;104
5;dkg;93;20
5;dkg;19;20
1;;103;127
;;50;5
30;dkg;52;1
;;15;100
2;;93;74
8;dkg;20;15
10;dkg;69;180
3;gerezd;115;56
;;94;23
8;dkg;2;15
;;30;5
;;6;5
25;dkg;70;152
2;fej;75;11
2;db;37;3
5;dkg;61;91
;;96;162
6;dkg;23;13
30;dkg;52;223
;;78;220
;;37;73
15;dkg;45;18
;;41;2
;;75;14
10;dkg;56;188
4;dkg;78;9
40;dkg;83;172
3;fej;30;16
10;dkg;32;54
1;fej;62;11
35;dkg;94;12
15;dkg;67;165
1;;46;3
;;62;10
1;;69;129
2;;83;3
;;43;5
;;2;34
1;mokkáskanál;19;195
2;dkg;47;13
;;87;45
4;;78;3
15;dkg;16;32
;;27;137
30;dkg;22;32
45;dkg;108;1
50;dkg;85;139
;;2;96
1;marék;1;47
4;dkg;113;13
;;47;46
2;szál;115;25
8;darab;99;3
2;gerezd;105;56
2;bögre;7;15
3;dkg;48;13
30;dkg;22;25
1;fej;25;16
25;dkg;65;178
5;dkg;16;33
2;dl;107;19
;;31;37
1;pohár;24;19
2;;67;104
;;112;8
3;dl;6;6
;;1;34
60;dkg;4;44
1;teáskanál;16;39
1;nagy;87;104
;;20;37
3;gerezd;79;56
;;83;34
40;dkg;77;1
1;;40;3
0,5;kg;23;1
;;81;5
30;;95;214
;;16;34
25;dkg;64;31
5;dkg;40;99
1;fej;4;11
;;38;34
2;dl;78;6
;;104;23
;;72;2
;;21;8
1;;33;10
1;;23;3
2;fej;52;11
4;;102;3
2;dl;115;19
25;dkg;10;83
;;105;229
4;db;34;94
1;;57;105
2;dl;21;49
35;dkg;110;12
2,5;dl;62;6
5;gerezd;39;56
20;dkg;32;224
;;19;46
20;dkg;34;25
20;dkg;49;75
;;49;5
15;dkg;12;86
4;dkg;72;13
1;liter;20;169
1;evőkanál;21;2
9;;44;174
10;dkg;19;27
1;dl;57;147
;;13;45
;;27;2
6;dkg;53;13
1;evőkanál;111;202
1;szál;69;85
2;szem;60;1
5;dkg;112;17
;;61;13
2;pár;38;84
2;dkg;104;13
;;17;2
;;89;46
2;evőkanál;110;47
25;dkg;70;153
;;63;2
8;karika;67;173
40;dkg;88;177
10;dkg;5;27
10;dkg;70;13
1;evőkanál;41;24
;;57;14
8;karika;83;173
8;;30;157
;;61;2
5;gerezd;8;56
1;szál;91;85
2;evőkanál;111;201
1;szál;34;92
1;szál;37;66
4;dkg;78;217
2;evőkanál;26;13
;;18;14
1;kávéskanál;89;8
10;dkg;33;44
100;dkg;55;9
;;46;14
;;26;45
2;dl;4;19
;;2;37
;;56;45
2;dkg;13;13
4;;79;35
;;71;13
;;75;34
;;98;5
1;dkg;23;20
3;dkg;94;13
25;dkg;64;30
2;fej;20;11
50;dkg;42;50
2;nagyobb;96;160
5;evőkanál;104;24
2;;75;3
;;82;100
;;70;5
20;dkg;102;2
2;bögre;96;15
1;csipet;101;53
1;;16;104
2;;22;104
1;fej;90;11
;;69;34
2;fej;7;11
5;dkg;40;25
4;nagyobb;83;66
;;10;35
;;83;14
10;dkg;3;224
;;2;45
1;evőkanál;79;24
2;gerezd;28;56
;;87;5
20;dkg;91;86
;;2;2
;;28;5
20;dkg;31;165
;;71;5
;;11;34
;;67;45
60;dkg;22;1
;;87;34
1;;5;65
2;szem;20;104
40;dkg;86;55
2;dl;68;19
1;;5;99
3;;66;25
50;dkg;14;59
80;dkg;98;1
40;dkg;17;27
;;7;163
2;fej;67;11
;;93;76
3;dl;44;19
;;110;34
15;dkg;23;54
;;55;5
;;13;46
3;fej;55;11
;;37;5
1,5;kg;44;1
1;fej;65;11
2;dl;56;19
;;96;5
5;szem;2;104
;;16;5
1;fej;113;11
10;dkg;107;165
;;65;5
;;114;36
;;20;45
1;teáskanál;19;77
5;dkg;74;13
;;7;69
1;fej;10;11
5;dkg;37;12
1;fej;116;67
;;8;96
5;;65;3
1;kis;66;104
;;79;5
1;fej;17;11
2;dl;63;19
;;43;2
2;;72;35
;;31;161
1;gerezd;87;56
80;dkg;26;55
;;100;118
3;fej;108;16
2;dl;76;19
25;dkg;103;172
2;;73;211
2;dl;47;19
20;dkg;16;25
;;39;118
;;37;71
;;83;45
;;20;34
2;;67;3
;;11;2
1;dl;71;6
2;dl;66;19
1,5;kg;27;104
;;53;107
10;dkg;95;54
;;96;147
50;dkg;36;101
30;dkg;20;117
;;63;34
1;csokor;112;81
5;fej;14;11
20;dkg;57;86
2;;46;32
;;115;45
0,5;mokkáskanál;98;39
2;pár;98;171
2;dkg;85;13
1;fej;116;11
1;kg;102;1
1;darab;99;41
35;dkg;10;139
;;28;63
1;mokkáskanál;23;52
30;dkg;29;29
;;4;45
40;dkg;21;48
1;fej;81;11
40;dkg;76;204
;;21;5
;;59;5
;;19;5
10;dkg;38;86
20;dkg;35;26
