id	filmid	szemelyid	megnevezes
173	456	388	színész
177	19	885	operatőr
182	23	109	színész
183	315	518	színész
184	363	1187	forgatókönyvíró
187	328	1674	színész
188	371	742	színész
191	303	1626	színész
192	362	709	rendező
193	408	1006	színész
194	157	314	színész
196	8	1547	színész
197	101	112	színész
199	36	614	forgatókönyvíró
200	189	413	operatőr
201	96	1077	színész
202	443	233	színész
206	85	540	forgatókönyvíró
207	437	461	színész
212	29	151	színész
215	62	754	színész
218	405	112	színész
220	128	206	színész
222	20	883	színész
224	423	764	színész
226	467	1767	színész
227	95	1556	színész
228	390	500	forgatókönyvíró
229	14	204	színész
230	58	126	színész
231	146	461	színész
233	410	1070	operatőr
234	185	1674	színész
235	98	1361	forgatókönyvíró
236	435	1415	színész
237	604	1036	rendező
238	95	862	színész
239	390	1225	operatőr
240	139	1472	színész
241	324	1225	operatőr
245	64	705	forgatókönyvíró
246	371	1271	színész
247	151	61	színész
249	360	1225	operatőr
250	381	375	rendező
251	135	62	színész
253	381	744	színész
254	421	999	színész
255	437	1333	színész
257	45	1609	színész
260	7	1177	színész
267	113	1264	színész
268	470	461	színész
271	121	862	színész
273	112	461	színész
274	323	858	színész
277	180	1091	színész
278	400	1020	színész
279	442	1415	színész
280	191	943	színész
281	50	557	színész
283	341	933	forgatókönyvíró
284	421	592	színész
285	86	62	színész
286	385	243	színész
290	323	1217	forgatókönyvíró
294	128	1024	színész
296	7	1631	színész
297	33	1143	forgatókönyvíró
298	67	1017	operatőr
299	119	883	színész
300	201	1538	színész
301	454	640	színész
304	14	1077	színész
305	78	1621	színész
306	355	243	színész
309	372	1754	forgatókönyvíró
310	408	408	színész
311	185	1531	színész
312	367	1626	színész
313	449	453	rendező
314	195	709	rendező
315	146	1390	színész
316	40	1119	operatőr
319	330	1285	színész
320	204	1643	forgatókönyvíró
321	159	1077	színész
322	363	744	színész
323	164	745	színész
324	100	596	forgatókönyvíró
326	94	413	operatőr
327	105	744	színész
329	402	221	színész
330	69	327	színész
331	19	106	színész
333	357	1415	színész
334	66	585	színész
336	104	540	forgatókönyvíró
338	143	883	színész
339	186	587	színész
340	50	676	rendező
341	16	385	színész
342	130	222	színész
343	442	1225	operatőr
345	438	898	színész
346	332	151	színész
347	443	1101	színész
348	473	587	színész
349	53	206	színész
350	77	887	operatőr
351	29	1367	színész
352	373	1264	színész
353	30	122	színész
357	197	585	színész
359	41	524	színész
363	360	372	színész
366	347	693	színész
367	372	132	színész
372	472	1397	színész
373	101	461	színész
374	25	1397	színész
375	437	1579	operatőr
376	348	1616	színész
380	364	1415	színész
381	607	204	színész
382	328	1430	színész
383	192	375	forgatókönyvíró
384	409	1219	színész
387	332	1783	színész
388	195	587	színész
390	107	1424	színész
391	107	1374	színész
393	460	1192	színész
394	424	1610	színész
395	363	243	színész
396	35	1716	színész
398	9	1748	színész
401	94	526	színész
402	466	278	színész
403	199	177	színész
404	435	524	színész
406	454	188	színész
407	122	1225	operatőr
409	22	1219	színész
414	33	594	színész
415	379	33	színész
416	310	1537	színész
420	147	17	rendező
422	139	188	színész
423	183	879	rendező
425	358	1610	színész
427	332	1196	színész
428	155	311	színész
429	96	248	színész
430	159	1569	színész
431	20	518	színész
432	128	887	operatőr
436	405	824	színész
437	11	1175	színész
440	423	1333	színész
442	190	1132	színész
443	177	760	színész
447	200	883	színész
448	303	1101	színész
449	442	603	színész
450	450	24	színész
451	22	1748	színész
452	205	1006	színész
453	68	352	színész
454	5	1367	színész
455	192	1162	színész
458	350	121	színész
459	334	1610	színész
460	303	1249	színész
461	414	1490	színész
462	368	757	színész
463	414	1544	színész
465	194	1077	színész
467	360	221	színész
468	53	1674	színész
470	72	1650	színész
471	371	632	színész
473	194	943	színész
474	45	1500	színész
475	197	1733	színész
476	346	667	színész
477	91	1552	színész
478	96	587	színész
480	446	862	színész
481	372	1254	színész
482	131	745	színész
483	372	862	színész
485	157	1748	színész
486	169	132	színész
488	147	1353	színész
490	151	943	színész
492	205	1579	operatőr
493	80	1478	színész
495	47	1397	színész
496	433	1077	színész
497	84	248	színész
498	128	912	színész
499	346	1430	színész
500	364	1225	operatőr
501	123	723	színész
502	332	1674	színész
503	414	1060	színész
504	16	1096	színész
505	72	823	forgatókönyvíró
506	601	1225	operatőr
508	189	667	színész
511	130	727	színész
512	120	1263	színész
514	361	541	színész
515	19	1210	színész
517	69	694	színész
522	143	243	színész
523	461	1478	színész
524	95	883	színész
527	189	1353	színész
528	328	1113	színész
529	108	693	színész
531	303	413	operatőr
532	34	765	színész
533	462	1113	színész
534	27	1192	színész
535	388	715	színész
536	386	744	színész
537	329	131	forgatókönyvíró
542	196	474	színész
543	84	506	színész
544	191	132	színész
545	205	694	színész
547	357	1622	színész
548	117	352	színész
551	204	906	forgatókönyvíró
552	379	898	színész
553	197	1622	színész
554	156	1225	operatőr
555	51	1017	operatőr
556	386	206	színész
557	145	204	színész
558	33	862	színész
560	399	775	forgatókönyvíró
563	4	715	színész
564	427	1109	színész
566	40	61	színész
569	325	1077	színész
571	412	352	színész
573	74	625	színész
574	323	1217	rendező
575	16	13	színész
576	15	1347	színész
577	92	388	színész
578	98	862	színész
579	171	1075	forgatókönyvíró
587	197	1367	színész
590	97	17	forgatókönyvíró
592	437	1449	színész
593	108	1590	forgatókönyvíró
594	381	278	színész
595	404	1490	színész
596	401	873	színész
600	57	577	színész
601	172	694	színész
603	329	1012	színész
604	446	1071	színész
605	406	1100	színész
606	368	267	színész
607	368	1733	színész
608	10	1556	színész
610	406	313	színész
612	47	585	színész
613	348	17	forgatókönyvíró
614	169	1367	színész
617	21	1006	színész
620	16	1370	forgatókönyvíró
621	429	842	rendező
627	383	609	operatőr
628	45	1478	színész
630	50	577	színész
631	325	871	színész
632	358	416	színész
633	332	709	rendező
637	170	501	rendező
638	28	121	színész
641	39	1478	színész
642	116	1424	színész
643	396	1537	színész
645	72	1017	operatőr
646	158	424	színész
648	87	152	rendező
650	450	1367	színész
651	185	558	színész
654	347	17	rendező
655	45	1579	operatőr
657	33	1634	színész
659	12	121	színész
661	90	1733	színész
662	413	39	forgatókönyvíró
663	318	1733	színész
664	194	1643	forgatókönyvíró
667	422	112	színész
668	185	883	színész
669	30	584	színész
670	400	188	színész
671	368	1116	színész
674	414	1739	színész
675	390	1593	színész
677	601	586	színész
685	388	243	színész
686	24	696	forgatókönyvíró
687	453	445	rendező
688	324	1096	színész
689	330	1694	színész
690	367	24	színész
691	386	1674	színész
692	387	388	színész
693	115	1285	színész
694	416	518	színész
695	124	1225	operatőr
696	378	1665	színész
700	74	883	színész
701	157	524	színész
705	604	847	színész
706	68	1510	operatőr
707	461	509	színész
710	342	1210	színész
712	151	1196	színész
713	188	802	színész
714	53	585	színész
715	317	745	színész
716	116	1196	színész
718	371	254	rendező
719	26	1674	színész
721	165	1117	színész
722	122	707	színész
723	21	126	színész
725	176	352	színész
729	378	373	színész
730	174	1610	színész
731	414	1225	operatőr
732	445	822	színész
733	197	1511	színész
734	32	1543	színész
735	196	824	színész
736	415	1579	operatőr
737	301	416	színész
738	139	1752	színész
740	78	1390	színész
742	62	1748	színész
744	170	1674	színész
745	198	1333	színész
750	79	581	rendező
751	80	352	színész
752	9	873	színész
756	315	1463	színész
761	95	195	színész
765	379	876	rendező
767	410	843	színész
769	356	585	színész
770	386	221	színész
772	362	1528	operatőr
773	100	195	színész
774	16	1547	színész
775	27	1430	színész
778	129	1430	színész
779	363	1017	operatőr
783	151	1347	színész
785	402	1694	színész
786	45	233	színész
787	163	388	színész
789	423	564	színész
790	326	570	operatőr
791	73	1537	színész
793	59	3	rendező
795	388	246	színész
798	357	461	színész
799	36	1739	színész
802	199	112	színész
803	396	871	színész
805	160	694	színész
807	431	1478	színész
809	395	1107	forgatókönyvíró
810	195	416	színész
811	156	1694	színész
812	54	524	színész
814	420	541	színész
815	146	1481	színész
816	398	890	színész
817	395	1074	színész
818	174	248	színész
819	84	1020	színész
820	67	1109	színész
821	424	500	forgatókönyvíró
823	405	204	színész
824	425	437	rendező
825	349	388	színész
826	61	1097	színész
827	84	1225	operatőr
828	329	305	színész
830	164	883	színész
831	191	1530	színész
832	124	775	forgatókönyvíró
833	361	727	színész
837	459	1430	színész
838	80	715	színész
839	404	1547	színész
840	101	577	színész
841	128	1367	színész
843	455	968	színész
844	427	1511	színész
845	95	587	színész
846	204	1674	színész
847	27	864	forgatókönyvíró
850	62	1424	színész
852	98	847	színész
853	52	1604	színész
854	424	1026	színész
855	27	667	színész
857	606	518	színész
859	169	764	színész
860	99	693	színész
861	154	305	színész
862	124	603	színész
866	173	1547	színész
868	161	602	színész
869	461	1425	színész
871	158	329	forgatókönyvíró
873	302	802	színész
874	325	1537	színész
876	97	745	színész
877	145	131	forgatókönyvíró
880	445	267	színész
882	21	1634	színész
883	52	1674	színész
884	343	902	színész
885	433	1478	színész
886	155	204	színész
887	435	1397	színész
889	107	1060	színész
893	338	1060	színész
897	604	461	színész
898	53	278	színész
899	55	1643	forgatókönyvíró
900	205	1537	színész
901	28	112	színész
907	136	754	színész
909	322	1091	színész
911	159	248	színész
912	402	879	rendező
913	197	745	színész
914	151	17	forgatókönyvíró
917	99	1691	operatőr
918	123	1610	színész
920	117	846	színész
921	101	847	színész
924	387	1060	színész
926	91	437	rendező
928	158	1077	színész
929	407	1703	színész
930	159	603	színész
931	420	38	színész
933	73	602	színész
935	440	248	színész
938	452	594	színész
939	430	102	rendező
941	425	435	színész
943	311	121	színész
944	99	524	színész
945	382	1111	színész
946	357	943	színész
949	27	709	forgatókönyvíró
950	463	206	színész
952	123	540	rendező
953	73	596	rendező
954	354	862	színész
956	356	1733	színész
961	383	883	színész
962	100	596	rendező
963	312	1449	színész
965	134	413	operatőr
966	143	38	színész
967	31	765	színész
968	98	110	színész
969	366	1528	operatőr
971	159	745	színész
972	429	1353	színész
973	348	1547	színész
974	4	898	színész
975	400	427	színész
976	321	1057	színész
977	99	28	rendező
978	417	1590	forgatókönyvíró
979	344	17	rendező
980	73	1418	színész
981	169	1634	színész
983	389	1221	színész
985	401	1117	színész
987	309	422	operatőr
989	147	693	színész
991	169	422	operatőr
992	81	1196	színész
993	396	1187	forgatókönyvíró
994	398	1674	színész
996	79	609	operatőr
997	53	1026	színész
1001	604	1166	forgatókönyvíró
1004	161	858	színész
1008	426	1364	forgatókönyvíró
1010	104	1700	színész
1011	70	518	színész
1012	138	1225	operatőr
1016	58	327	színész
1017	327	1342	színész
1018	53	1107	forgatókönyvíró
1020	108	1626	színész
1021	457	524	színész
1022	388	788	színész
1023	35	11	rendező
1024	331	1778	színész
1025	372	753	színész
1028	474	106	színész
1030	325	676	rendező
1032	148	1130	rendező
1034	38	753	színész
1037	394	762	forgatókönyvíró
1038	348	693	színész
1039	44	1665	színész
1040	65	159	rendező
1041	374	267	színész
1042	14	943	színész
1045	30	585	színész
1049	45	1547	színész
1050	364	862	színész
1052	437	1634	színész
1053	171	1020	színész
1054	175	715	színész
1055	129	195	színész
1056	439	745	színész
1057	405	1120	színész
1058	50	883	színész
1060	52	594	színész
1061	26	1017	operatőr
1062	308	1593	színész
1066	450	1537	színész
1067	450	1148	forgatókönyvíró
1068	29	1510	operatőr
1069	60	435	színész
1070	9	305	színész
1072	62	1478	színész
1073	369	632	színész
1074	470	1367	színész
1076	394	1733	színész
1078	9	320	rendező
1079	157	1006	színész
1080	475	585	színész
1084	81	206	színész
1085	339	1739	színész
1086	412	1579	operatőr
1087	87	564	színész
1089	346	1415	színész
1090	183	585	színész
1092	185	1225	operatőr
1093	461	866	forgatókönyvíró
1094	606	220	színész
1097	443	1221	színész
1099	165	868	forgatókönyvíró
1102	352	243	színész
1108	38	13	színész
1110	43	1213	rendező
1112	125	744	színész
1115	326	1225	operatőr
1117	332	1424	színész
1118	145	304	színész
1119	46	883	színész
1122	140	587	színész
1123	417	320	rendező
1125	97	1386	színész
1126	105	1664	színész
1129	425	121	színész
1130	321	1424	színész
1131	400	1415	színész
1132	19	1574	színész
1133	194	1543	színész
1134	403	1225	operatőr
1136	404	586	színész
1137	174	461	színész
1139	334	1272	színész
1140	329	1213	rendező
1141	41	1225	operatőr
1142	39	1111	színész
1146	103	1778	színész
1149	25	243	színész
1150	50	1219	színész
1151	342	62	színész
1154	87	202	színész
1157	357	305	színész
1158	311	427	színész
1159	188	1415	színész
1160	447	1674	színész
1161	174	1547	színész
1162	201	68	színész
1164	395	571	operatőr
1166	170	883	színész
1167	475	388	színész
1169	65	202	színész
1171	82	248	színész
1172	154	493	színész
1175	172	883	színész
1176	183	1674	színész
1177	186	901	színész
1178	401	1225	operatőr
1179	200	1285	színész
1181	346	102	rendező
1182	144	1424	színész
1184	179	1100	színész
1185	385	11	rendező
1187	62	1634	színész
1190	33	883	színész
1192	354	1674	színész
1193	350	24	színész
1194	78	1543	színész
1195	14	873	színész
1196	373	1700	színész
1197	79	372	színész
1200	171	1749	színész
1202	73	587	színész
1203	471	1481	színész
1205	45	1285	színész
1206	383	248	színész
1208	43	1077	színész
1209	131	188	színész
1210	87	898	színész
1212	184	11	rendező
1213	45	651	rendező
1214	425	1579	operatőr
1215	153	298	rendező
1217	332	61	színész
1218	426	1347	színész
1219	79	360	színész
1220	26	955	színész
1221	367	204	színész
1224	412	1175	színész
1225	321	1707	rendező
1228	385	518	színész
1229	2	955	színész
1231	19	1449	színész
1232	444	103	forgatókönyvíró
1233	145	1017	operatőr
1234	378	603	színész
1237	452	899	színész
1238	146	1634	színész
1240	73	943	színész
1241	95	594	színész
1243	128	745	színész
1244	171	61	színész
1246	418	1386	színész
1247	119	1121	színész
1250	362	862	színész
1251	439	1778	színész
1252	456	413	operatőr
1255	55	1424	színész
1257	162	524	színész
1259	392	1225	operatőr
1260	176	1077	színész
1261	340	694	színész
1262	147	1285	színész
1264	406	1020	színész
1265	403	300	színész
1267	349	899	színész
1268	115	727	színész
1269	72	676	forgatókönyvíró
1271	309	1157	forgatókönyvíró
1272	110	623	színész
1273	9	745	színész
1275	411	501	rendező
1277	441	1126	színész
1278	405	767	forgatókönyvíró
1283	121	461	színész
1284	358	1100	színész
1287	415	1716	színész
1289	436	118	színész
1290	100	1418	színész
1292	154	692	forgatókönyvíró
1293	140	416	színész
1296	173	943	színész
1298	322	388	színész
1300	452	1264	színész
1301	33	437	rendező
1303	320	1331	színész
1304	106	744	színész
1307	443	298	forgatókönyvíró
1308	394	17	rendező
1309	155	1423	rendező
1312	390	862	színész
1313	400	1622	színész
1317	70	883	színész
1318	172	1674	színész
1319	29	1537	színész
1321	362	1783	színész
1324	321	304	színész
1325	607	1101	színész
1326	47	170	színész
1328	426	1055	rendező
1329	415	524	színész
1330	438	709	rendező
1332	423	1674	színész
1333	362	1396	színész
1334	201	1697	operatőr
1336	436	501	rendező
1339	460	1231	színész
1341	17	1161	színész
1342	181	754	színész
1345	80	744	színész
1346	451	518	színész
1349	198	1427	forgatókönyvíró
1350	467	1390	színész
1351	133	1556	színész
1352	197	352	színész
1354	360	1622	színész
1355	453	1077	színész
1357	366	1733	színész
1359	427	1223	színész
1360	403	397	színész
1361	466	602	színész
1362	418	25	színész
1363	16	1424	színész
1364	373	518	színész
1365	200	1537	színész
1366	347	764	színész
1368	445	1219	színész
1371	170	299	színész
1373	64	1552	színész
1374	413	379	színész
1375	188	1547	színész
1377	354	25	színész
1380	428	709	rendező
1381	82	61	színész
1383	64	968	színész
1384	190	1511	színész
1385	460	574	színész
1386	104	305	színész
1388	303	46	színész
1391	191	1225	operatőr
1393	471	709	rendező
1394	63	1017	operatőr
1395	109	1713	színész
1397	455	999	színész
1398	330	879	rendező
1399	169	398	forgatókönyvíró
1400	97	1424	színész
1401	2	1225	operatőr
1402	144	11	forgatókönyvíró
1403	196	594	színész
1405	175	1091	színész
1407	420	822	színész
1409	408	587	színész
1410	159	840	színész
1411	129	864	forgatókönyvíró
1412	381	1225	operatőr
1413	80	822	színész
1416	339	62	színész
1417	193	509	színész
1418	172	898	színész
1419	177	219	színész
1420	162	1101	színész
1422	200	1055	rendező
1423	349	720	forgatókönyvíró
1424	47	1423	rendező
1428	80	248	színész
1430	186	278	színész
1432	31	755	színész
1433	171	62	színész
1434	51	801	színész
1435	467	1342	színész
1436	151	1665	színész
1437	373	919	színész
1438	461	213	színész
1440	332	1639	színész
1442	203	248	színész
1445	473	1367	színész
1446	31	1177	színész
1448	388	437	rendező
1451	456	1674	színész
1453	388	1380	színész
1454	388	1415	színész
1455	198	102	rendező
1456	159	901	színész
1457	159	461	színész
1458	431	968	színész
1459	317	654	színész
1460	80	1495	színész
1463	411	1192	színész
1464	110	1423	forgatókönyvíró
1466	59	1547	színész
1467	114	1113	színész
1470	176	745	színész
1471	110	1091	színész
1474	39	1101	színész
1475	412	300	színész
1476	452	1478	színész
1477	28	375	forgatókönyvíró
1478	172	251	rendező
1482	408	132	színész
1483	66	1347	színész
1484	427	1622	színész
1486	44	153	színész
1487	104	1017	operatőr
1490	160	667	színész
1491	82	38	színész
1493	104	304	színész
1496	328	1196	színész
1498	165	1225	operatőr
1500	421	413	operatőr
1502	37	388	színész
1503	383	1782	színész
1504	12	850	színész
1505	132	305	színész
1506	87	1634	színész
1507	54	667	színész
1508	332	518	színész
1509	136	248	színész
1510	146	1395	forgatókönyvíró
1512	327	126	színész
1513	28	195	színész
1514	360	416	színész
1515	99	1349	színész
1516	472	725	színész
1517	364	586	színész
1520	65	943	színész
1523	400	741	színész
1524	437	195	színész
1525	65	305	színész
1526	179	1634	színész
1527	20	1120	színész
1529	7	1396	színész
1530	44	267	színész
1533	183	1471	forgatókönyvíró
1534	437	1331	színész
1535	24	1481	színész
1536	386	822	színész
1537	96	1187	forgatókönyvíró
1538	392	416	színész
1539	52	1424	színész
1540	5	745	színész
1544	445	305	színész
1545	14	221	színész
1546	320	1077	színész
1548	25	824	színész
1553	92	11	rendező
1555	142	518	színész
1556	402	1132	színész
1557	313	1397	színész
1558	354	1397	színész
1561	16	796	forgatókönyvíró
1563	313	112	színész
1565	335	416	színész
1566	334	1733	színész
1568	442	427	színész
1569	117	594	színész
1570	424	500	rendező
1572	113	1716	színész
1573	361	159	forgatókönyvíró
1574	314	1778	színész
1576	354	311	színész
1577	146	1210	színész
1579	91	602	színész
1583	157	745	színész
1584	163	1449	színész
1585	106	1590	forgatókönyvíró
1587	151	1333	színész
1588	414	61	színész
1589	104	320	rendező
1590	302	1590	forgatókönyvíró
1591	97	413	operatőr
1592	146	1478	színész
1593	341	248	színész
1594	14	373	színész
1597	52	1749	színész
1599	447	764	színész
1600	328	1733	színész
1602	107	416	színész
1603	142	846	színész
1604	63	715	színész
1605	366	1749	színész
1606	310	1213	rendező
1607	440	1547	színész
1608	194	1674	színész
1612	13	461	színész
1613	453	602	színész
1615	354	243	színész
1616	464	395	színész
1617	92	1650	színész
1618	415	834	színész
1619	339	1639	színész
1620	434	676	rendező
1621	452	46	színész
1624	403	883	színész
1625	78	540	rendező
1626	364	1631	színész
1628	203	1593	színész
1629	351	1706	színész
1631	337	1552	színész
1632	420	248	színész
1634	450	1225	operatőr
1635	331	587	színész
1636	474	1430	színész
1637	362	1556	színész
1638	306	1733	színész
1640	27	709	rendező
1642	128	299	színész
1643	53	1333	színész
1646	453	17	rendező
1647	45	1537	színész
1648	77	1604	színész
1649	157	1579	operatőr
1650	607	585	színész
1651	112	1333	színész
1652	98	587	színész
1653	311	1415	színész
1656	334	1060	színész
1657	438	1415	színész
1658	5	858	színész
1660	317	352	színész
1661	364	883	színész
1662	143	1367	színész
1664	150	1461	színész
1665	59	1622	színész
1666	388	437	forgatókönyvíró
1667	27	555	forgatókönyvíró
1668	26	1547	színész
1669	383	1100	színész
1670	436	822	színész
1672	434	461	színész
1673	35	1077	színész
1674	46	1225	operatőr
1676	84	902	színész
1678	415	132	rendező
1681	174	1367	színész
1683	456	587	színész
1685	125	327	színész
1687	181	1634	színész
1688	101	1575	színész
1689	314	305	színész
1690	119	1012	színész
1692	453	1622	színész
1693	334	1631	színész
1694	347	424	színész
1697	338	585	színész
1698	173	587	színész
1702	405	1060	színész
1703	58	110	színész
1704	395	1415	színész
1705	2	943	színész
1707	378	127	színész
1708	46	416	színész
1709	435	1423	rendező
1710	30	1478	színész
1711	318	195	színész
1712	420	881	színész
1715	49	278	színész
1716	134	871	színész
1717	380	754	színész
1718	424	709	rendező
1719	313	1716	színész
1724	442	1622	színész
1725	374	1333	színész
1730	360	616	színész
1731	78	1096	színész
1732	54	204	színész
1733	427	1634	színész
1734	142	887	operatőr
1736	135	393	színész
1739	99	558	színész
1740	44	1415	színész
1742	174	1100	színész
1746	153	1492	színész
1748	175	577	színész
1752	338	745	színész
1758	411	248	színész
1759	179	745	színész
1760	35	540	forgatókönyvíró
1761	174	1528	operatőr
1762	38	1091	színész
1763	7	132	színész
1764	69	745	színész
1766	148	1783	színész
1767	131	955	színész
1768	342	883	színész
1770	82	1415	színész
1771	91	461	színész
1772	416	38	színész
1773	318	1574	színész
1774	28	464	színész
1776	160	1077	színész
1777	153	413	operatőr
1778	165	1415	színész
1780	168	1674	színész
1781	328	518	színész
1782	301	62	színész
1783	391	1674	színész
1786	99	1264	színész
1788	51	526	színész
1791	143	1117	színész
1792	81	864	színész
1794	95	1415	színész
1796	305	1399	operatőr
1797	94	38	színész
1798	52	847	színész
1799	121	943	színész
1802	439	195	színész
1804	423	873	színész
1807	22	1397	színész
1809	374	28	forgatókönyvíró
1810	27	305	színész
1812	160	599	forgatókönyvíró
1813	66	1113	színész
1814	310	1285	színész
1815	404	921	színész
1816	135	1564	forgatókönyvíró
1818	414	802	színész
1819	384	526	színész
1820	67	1716	színész
1821	169	1390	színész
1823	70	1424	színész
1824	92	1543	színész
1826	113	38	forgatókönyvíró
1827	325	693	színész
1828	359	755	színész
1830	323	1478	színész
1831	80	603	színész
1833	203	755	színész
1834	61	943	színész
1836	164	112	színész
1837	313	1017	operatőr
1838	380	1017	operatőr
1839	33	195	színész
1840	165	1530	színész
1842	324	1077	színész
1843	80	1590	forgatókönyvíró
1844	316	858	színész
1845	195	822	színész
1846	44	1622	színész
1847	34	1430	színész
1849	147	316	színész
1850	310	112	színész
1851	59	461	színész
1852	469	1338	rendező
1853	311	912	színész
1855	22	1223	színész
1859	27	121	színész
1860	387	555	forgatókönyvíró
1861	429	1347	színész
1862	16	1187	forgatókönyvíró
1863	373	1349	színész
1864	175	278	színész
1865	425	1492	színész
1867	463	667	színész
1868	318	847	színész
1870	309	1331	színész
1871	316	873	színész
1872	206	1225	operatőr
1875	412	1395	forgatókönyvíró
1876	20	654	színész
1877	452	744	színész
1878	124	689	színész
1879	109	1674	színész
1880	347	1703	színész
1881	16	204	színész
1883	82	587	színész
1885	472	992	forgatókönyvíró
1889	130	267	színész
1891	347	592	színész
1892	446	1126	színész
1894	159	38	színész
1895	146	630	színész
1896	164	257	színész
1898	41	862	színész
1899	322	1096	színész
1902	135	466	színész
1904	148	1562	forgatókönyvíró
1905	152	1449	színész
1906	26	1495	színész
1907	41	1511	színész
1909	73	1120	színész
1910	163	1510	operatőr
1911	9	1274	színész
1912	328	850	színész
1914	601	1708	színész
1918	95	796	forgatókönyvíró
1919	26	1397	színész
1921	366	654	színész
1922	9	1049	színész
1924	125	352	színész
1927	122	408	színész
1928	203	524	színész
1929	391	1723	forgatókönyvíró
1930	16	1769	színész
1931	322	7	operatőr
1932	363	1537	színész
1933	460	842	rendező
1934	199	862	színész
1935	159	416	színész
1937	65	1472	színész
1942	407	11	rendező
1943	88	1418	színész
1944	350	352	színész
1946	81	1006	színész
1947	181	1225	operatőr
1948	37	248	színész
1949	363	1424	színész
1950	27	1263	színész
1952	48	17	rendező
1953	3	1537	színész
1954	110	898	színész
1958	318	1748	színész
1960	198	523	színész
1961	11	112	színész
1962	153	1703	színész
1964	155	578	színész
1965	439	1547	színész
1968	381	375	forgatókönyvíró
1970	80	13	színész
1971	423	1716	színész
1972	150	278	színész
1973	332	586	színész
1974	339	61	színész
1975	2	110	színész
1977	50	696	forgatókönyvíró
1978	421	1049	színész
1981	469	984	színész
1982	370	474	színész
1984	445	262	színész
1985	3	152	forgatókönyvíró
1986	14	883	színész
1989	442	1631	színész
1990	430	1579	operatőr
1992	16	461	színész
1993	124	822	színész
1995	57	862	színész
1998	88	332	színész
1999	43	294	színész
2000	335	1347	színész
2003	176	1698	színész
2005	415	1547	színész
2008	386	862	színész
2010	58	1096	színész
2011	134	1626	színész
2013	86	1424	színész
2015	99	1221	színész
2016	182	1120	színész
2017	128	403	színész
2018	152	1060	színész
2021	400	372	színész
2022	14	1006	színész
2024	411	1374	színész
2027	22	61	színész
2028	320	1436	operatőr
2029	301	195	színész
2031	182	1176	színész
2032	165	1650	színész
2034	138	372	színész
2036	173	1643	forgatókönyvíró
2037	91	801	színész
2040	182	1579	operatőr
2044	95	524	színész
2046	94	837	színész
2047	89	156	forgatókönyvíró
2048	339	1674	színész
2049	191	596	rendező
2051	58	1579	operatőr
2052	128	1537	színész
2053	204	1449	színész
2054	374	137	forgatókönyvíró
2057	44	1674	színész
2058	102	38	színész
2059	348	413	operatőr
2060	316	373	színész
2061	173	524	színész
2063	139	943	színész
2064	147	943	színész
2065	190	56	színész
2066	97	873	színész
2067	381	327	színész
2068	22	80	forgatókönyvíró
2070	177	1674	színész
2071	413	745	színész
2072	162	267	színész
