az	peldanyaz	diakaz	el	vissza
120	935	262	2009.07.06	2009.07.19
121	966	173	2009.07.06	2009.07.14
122	1037	115	2009.07.06	2009.07.09
123	137	45	2009.07.06	2009.07.09
124	162	132	2009.07.06	2009.07.09
125	499	182	2009.07.06	2009.07.13
126	528	155	2009.07.06	2009.07.09
127	679	161	2009.07.06	2009.07.08
128	786	115	2009.07.07	2009.07.13
129	597	109	2009.07.07	2009.07.16
130	343	262	2009.07.07	2009.07.29
131	602	153	2009.07.07	2009.07.18
132	512	93	2009.07.07	2009.07.25
133	755	176	2009.07.07	2009.07.30
134	413	56	2009.07.07	2009.07.16
135	1049	131	2009.07.07	2009.07.13
136	587	168	2009.07.07	2009.07.28
137	598	137	2009.07.07	2009.07.15
138	664	65	2009.07.07	2009.07.18
139	653	167	2009.07.07	2009.08.01
140	211	192	2009.07.07	2009.07.09
141	290	238	2009.07.07	2009.07.22
142	691	211	2009.07.07	2009.07.10
143	770	82	2009.07.07	2009.07.11
144	29	217	2009.07.07	2009.07.13
145	85	151	2009.07.07	2009.07.11
146	112	109	2009.07.07	2009.07.08
147	222	244	2009.07.07	2009.07.14
148	121	100	2009.07.07	2009.07.10
149	603	217	2009.07.07	2009.07.13
150	548	53	2009.07.07	2009.07.09
151	626	263	2009.07.07	2009.07.13
152	31	61	2009.07.07	2009.07.08
153	867	80	2009.07.07	2009.07.10
154	213	126	2009.07.07	2009.08.01
155	551	123	2009.07.07	2009.07.14
156	957	190	2009.07.07	2009.07.09
157	299	146	2009.07.07	2009.07.24
158	452	185	2009.07.07	2009.07.14
159	369	153	2009.07.07	2009.08.03
160	613	75	2009.07.07	2009.08.02
161	615	91	2009.07.07	2009.07.22
162	346	99	2009.07.07	2009.07.13
163	276	140	2009.07.07	2009.07.13
164	806	89	2009.07.07	2009.07.13
165	766	162	2009.07.07	2009.07.31
166	769	56	2009.07.07	2009.07.09
167	776	215	2009.07.07	2009.07.13
168	384	142	2009.07.07	2009.08.05
169	221	16	2009.07.07	2009.07.24
170	517	211	2009.07.07	2009.07.14
171	562	63	2009.07.07	2009.07.26
172	743	168	2009.07.07	2009.07.18
173	1098	209	2009.07.07	2009.07.13
174	353	99	2009.07.07	2009.08.05
175	249	180	2009.07.07	2009.07.08
176	546	66	2009.07.07	2009.07.30
177	275	220	2009.07.07	2009.08.01
178	45	238	2009.07.07	2009.07.22
179	351	217	2009.07.07	2009.08.03
180	672	139	2009.07.07	2009.07.09
181	68	204	2009.07.07	2009.07.20
182	232	106	2009.07.07	2009.07.16
183	5	21	2009.07.07	2009.07.10
184	13	157	2009.07.07	2009.07.11
185	483	154	2009.07.07	2009.07.09
186	278	56	2009.07.07	2009.07.29
187	151	203	2009.07.07	2009.08.03
188	348	252	2009.07.07	2009.07.25
189	599	49	2009.07.07	2009.07.15
190	61	72	2009.07.07	2009.07.10
191	707	248	2009.07.07	2009.07.10
192	434	206	2009.07.07	2009.07.13
193	282	164	2009.07.07	2009.07.21
194	404	9	2009.07.07	2009.07.23
195	898	265	2009.07.07	2009.07.08
196	115	62	2009.07.07	2009.07.16
197	580	240	2009.07.07	2009.07.09
198	272	45	2009.07.07	2009.07.13
199	618	197	2009.07.07	2009.07.18
200	600	140	2009.07.07	2009.07.08
201	449	38	2009.07.07	2009.07.30
202	631	84	2009.07.07	2009.07.08
203	400	30	2009.07.07	2009.07.18
204	768	248	2009.07.07	2009.07.18
205	913	66	2009.07.07	2009.07.30
206	563	265	2009.07.07	2009.07.11
207	828	165	2009.07.07	2009.07.30
208	201	24	2009.07.07	2009.07.09
209	866	143	2009.07.07	2009.07.13
210	916	141	2009.07.07	2009.07.22
211	801	241	2009.07.07	2009.07.28
212	438	58	2009.07.07	2009.07.29
213	942	207	2009.07.07	2009.08.05
214	198	251	2009.07.07	2009.07.08
215	465	186	2009.07.07	2009.07.10
216	300	262	2009.07.07	2009.07.29
217	798	237	2009.07.07	2009.07.31
218	490	43	2009.07.07	2009.07.13
219	16	136	2009.07.07	2009.07.17
220	830	246	2009.07.07	2009.07.20
221	1029	148	2009.07.07	2009.07.08
222	737	123	2009.07.07	2009.07.14
223	714	197	2009.07.07	2009.08.03
224	229	140	2009.07.07	2009.07.27
225	994	259	2009.07.07	2009.08.01
226	197	142	2009.07.07	2009.07.21
227	447	150	2009.07.07	2009.07.10
228	450	155	2009.07.07	2009.07.08
229	294	173	2009.07.07	2009.07.20
230	651	3	2009.07.07	2009.08.03
231	1103	89	2009.07.07	2009.07.22
232	728	121	2009.07.07	2009.07.12
233	642	140	2009.07.07	2009.07.08
234	965	12	2009.07.07	2009.07.09
235	150	91	2009.07.07	2009.07.12
236	537	153	2009.07.07	2009.07.08
237	668	137	2009.07.07	2009.07.31
238	1083	53	2009.07.07	2009.08.02
239	368	102	2009.07.07	2009.07.09
240	543	41	2009.07.07	2009.08.05
241	259	174	2009.07.07	2009.07.20
242	475	143	2009.07.07	2009.07.13
243	1096	117	2009.07.07	2009.07.28
244	754	139	2009.07.07	2009.07.24
245	937	241	2009.07.07	2009.08.02
246	160	267	2009.07.07	2009.07.29
247	164	255	2009.07.07	2009.07.08
248	639	206	2009.07.07	2009.07.11
249	14	206	2009.07.08	2009.07.09
250	330	182	2009.07.08	2009.07.25
251	482	192	2009.07.08	2009.07.30
252	244	39	2009.07.08	2009.07.09
253	495	161	2009.07.08	2009.08.03
254	627	100	2009.07.08	2009.07.12
255	491	119	2009.07.08	2009.08.06
256	619	186	2009.07.08	2009.07.21
257	531	14	2009.07.08	2009.07.26
258	552	191	2009.07.08	2009.07.14
259	538	179	2009.07.08	2009.07.31
260	836	34	2009.07.08	2009.07.11
261	864	102	2009.07.08	2009.07.09
262	929	86	2009.07.08	2009.08.05
263	395	70	2009.07.08	2009.07.13
264	567	41	2009.07.08	2009.08.05
265	30	217	2009.07.08	2009.08.04
266	409	91	2009.07.08	2009.07.09
267	454	192	2009.07.08	2009.07.18
268	883	54	2009.07.08	2009.07.10
269	76	64	2009.07.08	2009.07.22
270	764	216	2009.07.08	2009.07.22
271	858	150	2009.07.08	2009.08.03
272	138	200	2009.07.08	2009.07.09
273	380	75	2009.07.08	2009.07.14
274	423	211	2009.07.08	2009.07.13
275	890	264	2009.07.08	2009.08.02
276	870	147	2009.07.08	2009.07.19
277	692	55	2009.07.08	2009.07.13
278	816	177	2009.07.08	2009.08.06
279	730	233	2009.07.08	2009.07.30
280	235	231	2009.07.08	2009.07.21
281	182	18	2009.07.08	2009.07.22
282	464	145	2009.07.08	2009.07.31
283	401	180	2009.07.08	2009.08.01
284	462	190	2009.07.08	2009.07.14
285	938	247	2009.07.08	2009.07.16
286	203	75	2009.07.08	2009.07.27
287	862	60	2009.07.08	2009.07.10
288	497	4	2009.07.08	2009.07.22
289	519	185	2009.07.08	2009.08.02
290	705	190	2009.07.08	2009.07.13
291	947	55	2009.07.08	2009.07.22
292	582	39	2009.07.08	2009.07.13
293	844	29	2009.07.08	2009.07.30
294	472	150	2009.07.08	2009.07.09
295	48	232	2009.07.08	2009.07.10
296	649	228	2009.07.08	2009.07.13
297	847	216	2009.07.08	2009.07.27
298	905	206	2009.07.08	2009.07.20
299	566	14	2009.07.08	2009.07.11
300	788	40	2009.07.08	2009.07.28
301	800	94	2009.07.08	2009.07.19
302	683	136	2009.07.08	2009.07.15
303	166	57	2009.07.08	2009.07.15
304	940	264	2009.07.08	2009.07.09
305	1080	193	2009.07.08	2009.08.06
306	652	83	2009.07.08	2009.07.13
307	1051	139	2009.07.08	2009.07.14
308	741	68	2009.07.08	2009.07.23
309	834	16	2009.07.08	2009.07.19
310	951	256	2009.07.08	2009.07.13
311	1097	39	2009.07.08	2009.07.18
312	565	256	2009.07.08	2009.07.10
313	659	68	2009.07.08	2009.07.10
314	25	172	2009.07.08	2009.07.10
315	547	194	2009.07.08	2009.07.17
316	1014	268	2009.07.08	2009.07.29
317	1019	114	2009.07.08	2009.08.05
318	134	139	2009.07.08	2009.08.04
319	430	20	2009.07.08	2009.07.14
320	910	77	2009.07.08	2009.08.01
321	1008	107	2009.07.08	2009.07.09
322	1067	83	2009.07.08	2009.08.03
323	706	128	2009.07.08	2009.07.13
324	832	20	2009.07.08	2009.07.11
325	536	259	2009.07.08	2009.07.09
326	202	71	2009.07.08	2009.07.21
327	247	5	2009.07.08	2009.08.04
328	612	242	2009.07.08	2009.07.12
329	782	26	2009.07.08	2009.07.12
330	715	190	2009.07.08	2009.07.13
331	807	218	2009.07.08	2009.07.10
332	665	58	2009.07.08	2009.07.14
333	188	209	2009.07.08	2009.07.15
334	165	89	2009.07.08	2009.07.12
335	621	119	2009.07.08	2009.07.14
336	1027	235	2009.07.08	2009.07.28
337	1044	131	2009.07.08	2009.07.24
338	7	138	2009.07.08	2009.08.03
339	375	253	2009.07.08	2009.07.31
340	574	67	2009.07.08	2009.07.16
341	898	123	2009.07.08	2009.07.10
342	448	235	2009.07.08	2009.07.22
343	227	241	2009.07.08	2009.07.19
344	785	155	2009.07.08	2009.07.09
345	941	5	2009.07.08	2009.07.22
346	970	98	2009.07.08	2009.08.05
347	120	86	2009.07.08	2009.08.05
348	600	48	2009.07.08	2009.07.14
349	6	160	2009.07.08	2009.07.11
350	581	200	2009.07.08	2009.07.13
351	437	35	2009.07.08	2009.07.17
352	793	87	2009.07.08	2009.07.28
353	933	186	2009.07.08	2009.07.09
354	119	189	2009.07.08	2009.07.20
355	535	197	2009.07.08	2009.07.10
356	767	7	2009.07.08	2009.07.09
357	894	223	2009.07.08	2009.07.10
358	303	53	2009.07.08	2009.07.13
359	362	67	2009.07.08	2009.07.13
360	40	94	2009.07.08	2009.07.14
361	270	236	2009.07.08	2009.07.12
362	427	226	2009.07.08	2009.07.30
363	21	89	2009.07.08	2009.07.14
364	908	208	2009.07.08	2009.08.05
365	977	78	2009.07.08	2009.07.16
366	648	35	2009.07.08	2009.07.09
367	717	238	2009.07.08	2009.07.27
368	971	249	2009.07.08	2009.07.18
369	306	103	2009.07.08	2009.07.29
370	634	87	2009.07.08	2009.07.13
371	689	102	2009.07.08	2009.07.12
372	349	268	2009.07.08	2009.07.15
373	355	119	2009.07.08	2009.07.14
374	759	179	2009.07.08	2009.08.05
375	470	2	2009.07.08	2009.07.09
376	176	134	2009.07.08	2009.08.01
377	693	223	2009.07.08	2009.07.21
378	359	145	2009.07.08	2009.07.12
379	749	115	2009.07.08	2009.07.09
380	671	85	2009.07.08	2009.08.05
381	1073	249	2009.07.08	2009.07.14
382	1078	25	2009.07.08	2009.07.11
383	718	230	2009.07.08	2009.08.03
384	797	243	2009.07.08	2009.08.01
385	799	114	2009.07.08	2009.08.05
386	923	66	2009.07.08	2009.07.25
387	930	42	2009.07.08	2009.07.17
388	881	72	2009.07.08	2009.07.15
389	72	237	2009.07.08	2009.07.13
390	457	65	2009.07.08	2009.07.20
391	831	189	2009.07.08	2009.07.20
392	159	204	2009.07.08	2009.07.11
393	411	223	2009.07.08	2009.07.12
394	712	245	2009.07.08	2009.07.13
395	918	60	2009.07.08	2009.07.10
396	509	178	2009.07.08	2009.07.22
397	460	18	2009.07.08	2009.07.18
398	123	148	2009.07.09	2009.08.08
399	108	144	2009.07.09	2009.07.25
400	959	154	2009.07.09	2009.07.25
401	817	136	2009.07.09	2009.07.14
402	1020	206	2009.07.09	2009.07.31
403	620	246	2009.07.09	2009.07.22
404	826	145	2009.07.09	2009.07.12
405	284	224	2009.07.09	2009.07.14
406	498	39	2009.07.09	2009.07.17
407	382	159	2009.07.09	2009.07.26
408	271	116	2009.07.09	2009.07.13
409	825	178	2009.07.09	2009.07.14
410	765	55	2009.07.09	2009.07.28
411	1012	206	2009.07.09	2009.08.08
412	366	231	2009.07.09	2009.07.27
413	139	88	2009.07.09	2009.07.15
414	191	15	2009.07.09	2009.07.10
415	845	132	2009.07.09	2009.07.14
416	871	83	2009.07.09	2009.07.19
417	989	26	2009.07.09	2009.07.13
418	211	41	2009.07.09	2009.07.15
419	719	132	2009.07.09	2009.07.14
420	223	255	2009.07.09	2009.07.10
421	842	38	2009.07.09	2009.07.11
422	27	56	2009.07.09	2009.07.14
423	62	135	2009.07.09	2009.07.18
424	315	144	2009.07.09	2009.07.12
425	640	115	2009.07.09	2009.07.25
426	946	253	2009.07.09	2009.07.10
427	419	41	2009.07.09	2009.07.24
428	474	87	2009.07.09	2009.07.22
429	647	33	2009.07.09	2009.07.18
430	43	96	2009.07.09	2009.07.19
431	808	12	2009.07.09	2009.07.10
432	31	247	2009.07.09	2009.07.17
433	344	138	2009.07.09	2009.07.12
434	607	175	2009.07.09	2009.07.12
435	472	196	2009.07.09	2009.07.15
436	1004	4	2009.07.09	2009.07.11
437	305	252	2009.07.09	2009.07.27
438	424	121	2009.07.09	2009.07.13
439	573	43	2009.07.09	2009.08.02
440	662	232	2009.07.09	2009.08.05
441	530	191	2009.07.09	2009.07.14
442	101	30	2009.07.09	2009.08.07
443	26	239	2009.07.09	2009.08.01
444	469	78	2009.07.09	2009.07.11
445	920	179	2009.07.09	2009.07.15
446	12	80	2009.07.09	2009.07.15
447	179	69	2009.07.09	2009.07.13
448	435	16	2009.07.09	2009.07.10
449	958	163	2009.07.09	2009.08.07
450	52	264	2009.07.09	2009.07.25
451	324	160	2009.07.09	2009.07.15
452	403	202	2009.07.09	2009.07.16
453	425	174	2009.07.09	2009.07.14
454	611	71	2009.07.09	2009.07.14
455	172	107	2009.07.09	2009.07.14
456	412	216	2009.07.09	2009.07.11
457	540	143	2009.07.09	2009.07.11
458	991	258	2009.07.09	2009.07.11
459	711	184	2009.07.09	2009.07.11
460	716	187	2009.07.09	2009.08.01
461	1054	233	2009.07.09	2009.07.31
462	1057	151	2009.07.09	2009.07.10
463	1032	179	2009.07.09	2009.07.18
464	536	133	2009.07.09	2009.07.19
465	926	87	2009.07.09	2009.07.31
466	88	80	2009.07.09	2009.07.21
467	363	141	2009.07.09	2009.07.20
468	523	183	2009.07.09	2009.07.12
469	488	222	2009.07.09	2009.07.10
470	710	103	2009.07.09	2009.07.13
471	874	11	2009.07.09	2009.07.15
472	904	222	2009.07.09	2009.07.28
473	281	196	2009.07.09	2009.07.15
474	539	20	2009.07.09	2009.07.13
475	416	98	2009.07.09	2009.07.14
476	99	91	2009.07.09	2009.07.23
477	335	14	2009.07.09	2009.07.28
478	414	78	2009.07.09	2009.07.10
479	317	267	2009.07.09	2009.07.12
480	19	5	2009.07.09	2009.07.14
481	891	114	2009.07.09	2009.07.13
482	260	49	2009.07.09	2009.07.23
483	332	144	2009.07.09	2009.07.23
484	1068	122	2009.07.09	2009.07.17
485	1089	189	2009.07.09	2009.07.31
486	1095	99	2009.07.09	2009.08.02
487	245	120	2009.07.09	2009.07.14
488	879	25	2009.07.09	2009.07.20
489	886	33	2009.07.09	2009.08.02
490	36	39	2009.07.09	2009.07.13
491	316	107	2009.07.09	2009.07.11
492	321	220	2009.07.09	2009.07.15
493	722	18	2009.07.09	2009.07.11
494	790	264	2009.07.09	2009.07.15
495	827	97	2009.07.09	2009.07.25
496	64	117	2009.07.09	2009.07.14
497	534	247	2009.07.09	2009.07.30
498	861	134	2009.07.09	2009.07.16
499	885	159	2009.07.09	2009.07.14
500	277	263	2009.07.09	2009.08.08
501	663	12	2009.07.09	2009.07.14
502	723	247	2009.07.09	2009.07.12
503	1025	252	2009.07.09	2009.07.11
504	183	70	2009.07.09	2009.07.22
505	220	243	2009.07.09	2009.07.22
506	593	167	2009.07.09	2009.08.07
507	130	139	2009.07.09	2009.07.10
508	190	31	2009.07.09	2009.07.23
509	758	26	2009.07.09	2009.07.20
510	708	208	2009.07.09	2009.07.22
511	97	234	2009.07.09	2009.08.08
512	163	247	2009.07.09	2009.07.26
513	682	73	2009.07.09	2009.08.05
514	767	3	2009.07.09	2009.07.11
515	914	172	2009.07.09	2009.07.28
516	687	16	2009.07.09	2009.07.19
517	73	170	2009.07.09	2009.07.15
518	239	145	2009.07.09	2009.08.05
519	588	90	2009.07.09	2009.07.15
520	780	20	2009.07.09	2009.07.13
521	302	78	2009.07.09	2009.08.02
522	429	76	2009.07.09	2009.07.12
523	15	197	2009.07.09	2009.07.25
524	83	81	2009.07.09	2009.08.01
525	250	30	2009.07.09	2009.07.16
526	372	49	2009.07.09	2009.07.14
527	964	210	2009.07.09	2009.07.19
528	118	205	2009.07.09	2009.08.04
529	453	65	2009.07.09	2009.08.06
530	669	144	2009.07.09	2009.07.25
531	1064	62	2009.07.09	2009.08.07
532	979	135	2009.07.09	2009.07.12
533	1040	22	2009.07.09	2009.07.27
534	1061	184	2009.07.09	2009.07.25
535	37	139	2009.07.09	2009.07.26
536	837	150	2009.07.09	2009.07.12
537	1052	177	2009.07.09	2009.08.03
538	1081	243	2009.07.09	2009.07.14
539	899	248	2009.07.09	2009.07.14
540	1084	57	2009.07.09	2009.07.27
541	1100	174	2009.07.09	2009.08.06
542	1101	41	2009.07.09	2009.08.07
543	195	249	2009.07.09	2009.07.24
544	576	167	2009.07.09	2009.07.13
545	733	213	2009.07.09	2009.07.29
546	846	177	2009.07.09	2009.08.04
547	148	259	2009.07.09	2009.07.13
548	352	188	2009.07.09	2009.07.15
549	9	135	2009.07.09	2009.07.26
550	443	94	2009.07.09	2009.07.31
551	1018	196	2009.07.09	2009.07.16
552	1065	263	2009.07.09	2009.08.08
553	214	1	2009.07.09	2009.07.21
554	368	42	2009.07.09	2009.08.07
555	1066	140	2009.07.09	2009.07.27
556	633	74	2009.07.09	2009.08.04
557	329	49	2009.07.09	2009.07.22
558	393	115	2009.07.09	2009.07.12
559	1094	219	2009.07.09	2009.07.12
560	1102	223	2009.07.09	2009.07.14
561	358	118	2009.07.09	2009.07.13
562	638	62	2009.07.09	2009.07.16
563	594	103	2009.07.09	2009.07.13
564	1048	228	2009.07.09	2009.07.14
565	456	5	2009.07.10	2009.08.02
566	676	41	2009.07.10	2009.07.24
567	811	238	2009.07.10	2009.07.14
568	1015	3	2009.07.10	2009.08.05
569	564	33	2009.07.10	2009.08.09
570	778	8	2009.07.10	2009.08.01
571	645	19	2009.07.10	2009.07.15
572	792	203	2009.07.10	2009.07.13
573	1043	158	2009.07.10	2009.07.25
574	1046	68	2009.07.10	2009.07.15
575	439	49	2009.07.10	2009.07.23
576	882	214	2009.07.10	2009.07.11
577	548	92	2009.07.10	2009.07.24
578	747	66	2009.07.10	2009.08.05
579	670	11	2009.07.10	2009.07.16
580	471	249	2009.07.10	2009.07.15
581	477	241	2009.07.10	2009.07.15
582	226	179	2009.07.10	2009.07.16
583	1013	267	2009.07.10	2009.07.19
584	57	1	2009.07.10	2009.07.11
585	542	162	2009.07.10	2009.07.25
586	659	9	2009.07.10	2009.07.31
587	80	210	2009.07.10	2009.07.23
588	273	130	2009.07.10	2009.07.17
589	601	85	2009.07.10	2009.08.08
590	381	5	2009.07.10	2009.07.15
591	1008	46	2009.07.10	2009.07.20
592	919	111	2009.07.10	2009.07.11
593	1026	16	2009.07.10	2009.07.11
594	807	182	2009.07.10	2009.07.17
595	488	38	2009.07.10	2009.08.05
596	584	231	2009.07.10	2009.07.16
597	169	256	2009.07.10	2009.08.08
598	486	87	2009.07.10	2009.07.31
599	522	88	2009.07.10	2009.07.12
600	50	196	2009.07.10	2009.07.13
601	205	259	2009.07.10	2009.07.14
602	848	180	2009.07.10	2009.07.12
603	266	240	2009.07.10	2009.08.07
604	660	209	2009.07.10	2009.07.12
605	391	143	2009.07.10	2009.07.19
606	976	98	2009.07.10	2009.07.11
607	356	28	2009.07.10	2009.07.31
608	129	145	2009.07.10	2009.08.06
609	141	258	2009.07.10	2009.07.24
610	738	242	2009.07.10	2009.07.29
611	666	186	2009.07.10	2009.07.28
612	535	129	2009.07.10	2009.07.14
613	641	5	2009.07.10	2009.07.24
614	122	125	2009.07.10	2009.07.11
615	426	77	2009.07.10	2009.07.30
616	732	210	2009.07.10	2009.07.12
617	140	70	2009.07.10	2009.07.12
618	1000	100	2009.07.10	2009.08.02
619	1077	23	2009.07.10	2009.07.18
620	440	196	2009.07.10	2009.07.26
621	654	253	2009.07.10	2009.07.18
622	364	18	2009.07.10	2009.07.21
623	681	123	2009.07.10	2009.07.12
624	75	177	2009.07.11	2009.07.16
625	955	209	2009.07.11	2009.07.15
626	109	189	2009.07.11	2009.07.13
627	415	61	2009.07.11	2009.07.18
628	20	12	2009.07.11	2009.07.14
629	773	185	2009.07.11	2009.07.21
630	506	119	2009.07.11	2009.08.10
631	255	105	2009.07.11	2009.08.09
632	909	172	2009.07.11	2009.07.15
633	394	224	2009.07.11	2009.07.31
634	1091	198	2009.07.11	2009.07.17
635	744	268	2009.07.11	2009.07.12
636	862	149	2009.07.11	2009.07.18
637	907	202	2009.07.11	2009.07.17
638	510	75	2009.07.11	2009.07.26
639	365	143	2009.07.11	2009.07.27
640	39	188	2009.07.11	2009.07.13
641	1034	234	2009.07.11	2009.07.16
642	420	102	2009.07.11	2009.08.02
643	867	26	2009.07.11	2009.07.26
644	248	31	2009.07.11	2009.08.01
645	98	44	2009.07.11	2009.07.23
646	1009	224	2009.07.11	2009.07.12
647	417	120	2009.07.11	2009.07.21
648	249	246	2009.07.11	2009.07.15
649	695	36	2009.07.11	2009.07.13
650	185	83	2009.07.11	2009.07.26
651	1079	63	2009.07.11	2009.07.31
652	832	222	2009.07.11	2009.07.31
653	915	216	2009.07.11	2009.07.14
654	943	222	2009.07.11	2009.07.20
655	1072	79	2009.07.11	2009.07.18
656	5	34	2009.07.11	2009.07.16
657	810	225	2009.07.11	2009.07.19
658	461	198	2009.07.11	2009.07.25
659	496	134	2009.07.11	2009.07.31
660	225	182	2009.07.11	2009.08.07
661	993	268	2009.07.11	2009.07.12
662	81	48	2009.07.11	2009.08.06
663	580	199	2009.07.11	2009.07.16
664	731	221	2009.07.11	2009.08.05
665	71	224	2009.07.11	2009.07.12
666	972	83	2009.07.11	2009.07.30
667	978	21	2009.07.11	2009.08.05
668	6	78	2009.07.11	2009.07.14
669	608	223	2009.07.11	2009.08.04
670	87	103	2009.07.11	2009.07.18
671	933	193	2009.07.11	2009.07.27
672	96	77	2009.07.11	2009.07.17
673	775	239	2009.07.11	2009.07.18
674	285	2	2009.07.11	2009.07.18
675	465	93	2009.07.11	2009.07.18
676	357	49	2009.07.11	2009.07.31
677	51	92	2009.07.11	2009.08.08
678	171	172	2009.07.11	2009.07.13
679	32	64	2009.07.11	2009.07.21
680	742	19	2009.07.11	2009.07.17
681	784	182	2009.07.11	2009.08.07
682	421	172	2009.07.11	2009.07.18
683	555	232	2009.07.11	2009.07.18
684	1016	268	2009.07.11	2009.07.12
685	3	111	2009.07.11	2009.07.12
686	22	59	2009.07.11	2009.07.14
687	476	108	2009.07.11	2009.08.03
688	642	59	2009.07.11	2009.07.22
689	751	123	2009.07.11	2009.08.02
690	280	87	2009.07.11	2009.07.13
691	1022	236	2009.07.11	2009.07.23
692	1037	255	2009.07.11	2009.07.23
693	137	51	2009.07.11	2009.07.20
694	833	258	2009.07.11	2009.08.09
