az	muaz	ar	beszerzes
91	60	723	2007.12.28
92	32	1436	2007.09.12
93	3	1386	2008.12.08
94	79	752	2006.05.31
95	70	820	2006.03.12
96	78	842	2008.08.10
97	78	1198	2004.11.28
98	37	1344	2006.07.17
99	59	800	2005.11.09
100	44	998	2008.04.30
101	31	1258	2005.05.20
102	61	990	2007.04.19
103	25	1337	2007.05.31
104	51	1211	2005.12.08
105	73	1137	2004.01.30
106	25	1261	2006.06.03
107	97	1494	2007.11.04
108	2	1259	2007.04.15
109	6	1321	2004.12.27
110	108	828	2005.07.02
111	93	924	2006.08.26
112	21	1365	2006.09.13
113	6	711	2008.07.05
114	102	1288	2004.02.28
115	62	926	2005.06.06
116	6	1257	2008.04.30
117	79	1159	2008.07.29
118	90	1294	2006.03.27
119	78	1287	2007.02.08
120	65	1217	2008.03.10
121	22	741	2009.01.05
122	88	710	2006.12.17
123	1	1361	2005.06.26
124	57	1271	2006.10.07
125	90	900	2008.05.26
126	103	919	2006.08.27
127	41	1037	2006.09.28
128	43	1405	2007.05.16
129	74	1390	2007.05.21
130	75	1377	2006.03.07
131	15	1037	2006.07.25
132	92	1408	2006.09.06
133	1	942	2007.04.27
134	45	1290	2007.12.19
135	18	934	2006.04.14
136	22	1186	2007.07.05
137	105	867	2009.02.12
138	14	961	2005.07.28
139	14	1126	2008.10.05
140	94	961	2006.02.08
141	74	1479	2004.05.18
142	44	1417	2006.06.30
143	101	780	2005.11.16
144	64	1446	2008.01.16
145	46	1276	2006.10.05
146	75	996	2004.05.06
147	40	1495	2006.06.11
148	99	1112	2009.02.17
149	49	741	2009.03.11
150	100	1353	2008.02.09
151	53	879	2007.11.21
152	46	1353	2007.10.02
153	56	916	2005.04.06
154	66	1369	2004.12.20
155	102	792	2005.01.01
156	20	1022	2006.05.27
157	78	1147	2004.03.31
158	43	1075	2006.03.13
159	106	1109	2008.02.04
160	107	1387	2006.07.11
161	64	1281	2004.11.07
162	109	840	2004.08.16
163	79	1248	2005.07.27
164	107	1197	2008.03.17
165	56	1195	2005.10.10
166	36	862	2008.08.03
167	73	1378	2008.04.05
168	72	1480	2006.06.17
169	53	1210	2009.01.22
170	83	941	2005.10.08
171	82	814	2004.02.12
172	43	846	2006.05.07
173	107	892	2007.05.15
174	108	777	2004.11.02
175	31	928	2004.03.17
176	93	1420	2005.10.22
177	30	915	2005.01.31
178	50	1300	2008.02.19
179	33	761	2004.02.22
180	16	1265	2004.05.02
181	78	1338	2007.10.08
182	19	1480	2006.02.07
183	74	1098	2007.10.01
184	9	1141	2008.12.03
185	45	794	2008.10.22
186	9	1192	2004.05.19
187	34	1333	2004.04.17
188	54	1006	2004.05.02
189	36	1358	2007.09.30
190	76	1237	2008.07.11
191	14	846	2008.04.01
192	40	771	2007.06.08
193	85	1220	2004.03.14
194	84	903	2004.03.26
195	97	782	2004.10.31
196	93	1051	2008.04.20
197	93	1445	2006.02.20
198	78	1452	2005.02.02
199	2	1284	2007.08.13
200	105	1452	2005.04.08
201	75	1072	2005.05.03
202	50	1059	2009.02.27
203	21	729	2004.09.06
204	90	1065	2006.05.21
205	58	788	2006.09.25
206	31	762	2006.03.23
207	85	1500	2004.09.17
208	92	899	2006.04.27
209	77	1135	2005.02.14
210	81	917	2007.07.09
211	16	1189	2008.07.19
212	15	973	2004.09.11
213	27	980	2009.01.12
214	101	1314	2006.07.28
215	109	1476	2006.08.22
216	62	1282	2006.12.07
217	80	879	2008.01.24
218	95	834	2007.07.30
219	37	1039	2005.09.12
220	74	704	2004.09.15
221	38	1471	2008.03.12
222	21	754	2005.01.05
223	17	1011	2004.02.25
224	73	1353	2007.12.06
225	54	891	2007.01.05
226	35	951	2005.08.01
227	62	1498	2005.07.30
228	87	978	2008.05.07
229	90	798	2007.01.29
230	7	1448	2006.08.23
231	23	1173	2006.04.21
232	49	1288	2009.01.03
233	11	861	2006.05.01
234	88	1320	2008.08.24
235	18	1213	2006.10.18
236	41	1012	2006.05.30
237	30	1347	2007.07.31
238	21	703	2004.05.09
239	83	1005	2007.08.21
240	108	738	2008.07.04
241	28	751	2009.03.07
242	25	1172	2004.03.22
243	63	1179	2008.09.25
244	3	750	2006.12.03
245	65	962	2008.01.04
246	74	793	2006.11.27
247	50	1135	2004.12.11
248	33	1397	2006.02.27
249	41	1228	2005.01.21
250	89	951	2005.12.08
251	39	924	2006.04.18
252	53	994	2005.03.18
253	15	897	2008.11.28
254	69	1265	2004.09.09
255	15	1138	2007.11.20
256	48	996	2004.03.02
257	3	1106	2008.06.04
258	40	1190	2005.08.08
259	104	1325	2008.10.26
260	63	1345	2006.09.20
261	56	1145	2005.02.10
262	38	746	2009.03.09
263	27	1260	2004.05.04
264	78	740	2007.04.15
265	91	1001	2004.07.08
266	61	1409	2005.06.18
267	20	1238	2005.01.17
268	27	1336	2005.05.01
269	79	1490	2004.07.18
270	82	789	2008.12.28
271	10	988	2004.11.10
272	63	963	2004.11.19
273	42	859	2007.07.21
274	107	1006	2004.09.09
275	43	871	2006.09.04
276	35	1282	2006.10.03
277	71	743	2008.04.29
278	52	752	2006.03.27
279	66	733	2008.02.27
280	101	945	2009.01.24
281	55	1043	2008.12.29
282	58	915	2008.05.21
283	79	727	2006.01.30
284	7	787	2004.04.18
285	80	701	2008.11.15
286	40	1000	2007.04.15
287	57	1157	2004.03.27
288	24	1401	2004.01.28
289	81	1413	2006.09.05
290	17	1176	2007.05.05
291	94	796	2008.02.14
292	43	1125	2006.11.10
293	57	826	2008.04.08
294	95	1024	2005.11.21
295	11	1471	2008.01.07
296	69	795	2005.11.11
297	4	1118	2007.07.21
298	31	712	2005.07.25
299	29	1234	2007.02.18
300	81	866	2006.11.10
301	54	1362	2005.11.02
302	87	1270	2007.12.27
303	80	1070	2006.05.19
304	84	953	2004.11.22
305	29	1424	2005.06.12
306	88	1180	2005.10.15
307	58	1258	2005.07.23
308	22	856	2006.05.03
309	24	804	2008.10.19
310	4	902	2008.11.26
311	65	1153	2006.04.28
312	35	1421	2004.05.29
313	40	1076	2008.04.11
314	83	700	2006.10.17
315	19	1315	2008.02.13
316	67	911	2005.04.07
317	60	1232	2008.05.09
318	34	1028	2008.08.27
319	84	1208	2005.01.28
320	67	1432	2004.10.02
321	68	757	2006.05.29
322	19	870	2004.06.01
323	106	1299	2006.05.29
324	39	1089	2004.04.12
325	108	713	2008.03.05
326	43	706	2008.09.10
327	38	911	2007.03.04
328	55	1349	2004.08.19
329	103	894	2006.04.29
330	1	776	2004.02.17
331	105	1287	2007.04.14
332	63	1434	2008.11.30
333	99	756	2007.08.18
334	5	1474	2009.01.20
335	59	1321	2005.05.06
336	44	718	2007.10.26
337	84	877	2009.02.08
338	98	718	2008.03.04
339	20	1098	2007.05.24
340	27	815	2005.11.04
341	67	1216	2006.02.09
342	10	1243	2005.01.15
343	7	812	2004.08.17
344	25	791	2007.08.05
345	69	1329	2006.07.22
346	34	1219	2006.12.20
347	8	1396	2009.02.08
348	53	955	2008.11.17
349	89	1447	2005.02.04
350	13	1139	2004.10.05
351	48	1250	2004.05.07
352	99	1341	2008.12.25
353	40	1356	2008.10.15
354	64	1395	2007.05.19
355	89	1117	2009.02.15
356	70	1036	2004.11.02
357	81	1273	2009.01.09
358	105	1414	2008.12.08
359	95	999	2005.07.24
360	3	1310	2007.12.12
361	89	1218	2005.03.30
362	80	765	2005.07.15
363	49	792	2004.08.24
364	108	1069	2004.06.23
365	23	1084	2004.02.09
366	13	1229	2006.12.17
367	75	970	2009.03.21
368	101	1174	2008.12.01
369	30	725	2006.10.08
370	53	1464	2004.01.14
371	72	794	2008.12.26
372	89	1383	2008.06.07
373	25	917	2004.01.16
374	30	1182	2004.05.22
375	59	1041	2004.10.31
376	6	1397	2005.12.25
377	30	1055	2007.12.11
378	93	1330	2008.10.24
379	43	1291	2004.11.03
380	14	910	2004.11.29
381	43	1011	2004.04.30
382	8	1320	2008.02.11
383	52	1108	2007.09.27
384	37	1294	2005.11.18
385	59	1080	2006.05.15
386	12	707	2007.06.22
387	101	729	2005.03.20
388	45	870	2004.08.05
389	105	727	2006.04.05
390	96	935	2008.11.24
391	62	1396	2004.04.03
392	67	1190	2005.10.11
393	103	1313	2004.06.28
394	19	730	2006.10.06
395	9	1027	2006.05.25
396	48	1415	2007.07.16
397	35	735	2006.12.08
398	22	1466	2008.01.09
399	66	1394	2005.04.19
400	71	1188	2006.10.27
401	20	907	2009.01.28
402	14	1431	2004.05.26
403	39	873	2005.08.19
404	59	1436	2007.11.15
405	40	1406	2004.03.31
406	2	1348	2004.04.11
407	68	1317	2007.06.07
408	55	1209	2006.12.24
409	11	810	2005.09.02
410	108	1298	2004.04.29
411	106	1401	2007.09.24
412	44	1048	2008.12.27
413	12	771	2004.02.19
414	59	775	2005.07.11
415	6	1092	2005.02.20
416	56	789	2008.10.24
417	39	1293	2009.01.01
418	41	1482	2005.03.28
419	23	1364	2004.08.14
420	26	1044	2005.09.10
421	88	735	2007.04.17
422	96	846	2006.09.13
423	14	1406	2004.01.26
424	29	1069	2009.02.23
425	39	1343	2004.06.17
426	91	1497	2008.11.17
427	83	1437	2004.12.04
428	54	1057	2004.12.30
429	87	1244	2007.08.28
430	45	1480	2006.04.13
431	97	1062	2005.05.07
432	4	991	2005.11.24
433	102	932	2007.11.11
434	57	1042	2006.11.30
435	35	1066	2008.02.10
436	95	1444	2004.01.22
437	76	843	2005.06.26
438	77	830	2004.04.12
439	21	1199	2008.09.18
440	102	716	2009.03.20
441	98	794	2009.03.01
442	30	890	2004.10.02
443	100	1378	2008.06.09
444	51	791	2007.10.09
445	47	1238	2005.03.23
446	38	1446	2007.11.12
447	93	1165	2005.08.17
448	60	838	2005.04.24
449	68	1419	2008.10.02
450	94	1012	2006.10.07
451	46	806	2007.12.07
452	29	979	2006.12.14
453	90	1039	2006.01.20
454	11	1115	2006.07.07
455	20	1428	2008.07.25
456	2	1208	2006.08.16
457	105	1007	2006.10.09
458	39	1038	2008.10.27
459	12	1432	2006.06.25
460	109	700	2006.12.21
461	52	1248	2005.05.23
462	20	933	2004.03.15
463	9	1357	2007.07.27
464	19	1251	2006.04.02
465	80	1210	2009.03.28
466	68	1203	2004.11.26
467	19	895	2004.09.30
468	32	1385	2007.01.13
469	32	1270	2004.07.04
470	92	1318	2004.06.26
471	27	1120	2006.09.08
472	27	1286	2004.09.01
473	83	1196	2005.12.13
474	23	817	2004.10.19
475	104	855	2004.10.15
476	92	988	2008.07.07
477	29	1285	2007.10.17
478	17	1367	2005.08.28
479	47	818	2007.01.22
480	3	1220	2005.10.01
481	7	1384	2004.10.10
482	2	738	2007.10.19
483	51	855	2004.06.07
484	34	1460	2005.12.11
485	26	1209	2008.11.18
486	53	904	2008.03.20
487	71	833	2005.04.26
488	52	1083	2007.05.29
489	44	1354	2004.08.17
490	83	1132	2004.02.01
491	5	1309	2005.11.12
492	77	919	2006.06.24
493	80	1451	2008.03.19
494	45	959	2006.10.17
495	3	966	2005.07.26
496	53	1375	2007.01.17
497	22	1441	2007.09.10
498	7	1218	2006.10.17
499	109	1196	2006.02.16
500	75	1276	2004.11.09
501	25	1477	2005.01.24
502	55	1298	2009.03.06
503	64	950	2008.11.18
504	16	795	2005.07.04
505	35	976	2005.11.29
506	11	1026	2004.04.25
507	22	1402	2006.02.26
508	66	1140	2005.02.12
509	108	1374	2005.04.26
510	22	805	2005.09.04
511	84	788	2006.11.29
512	11	886	2006.08.30
513	20	1187	2004.05.21
514	71	1379	2005.02.19
515	88	825	2004.04.14
516	66	1420	2005.08.18
517	38	1141	2007.01.08
518	50	919	2006.04.20
519	22	881	2006.09.01
520	72	1251	2006.08.10
521	101	1111	2007.01.19
522	54	777	2004.06.26
523	51	1185	2005.08.09
524	87	838	2005.06.28
525	65	1293	2009.03.07
526	88	990	2007.06.23
527	54	1272	2008.11.05
528	109	929	2006.10.28
529	35	1155	2005.02.07
530	30	941	2005.05.31
531	7	723	2007.08.20
532	57	762	2006.05.27
533	20	1378	2007.11.27
534	70	1176	2007.09.12
535	79	1439	2009.02.01
536	48	894	2008.01.19
537	100	818	2007.06.01
538	8	760	2007.02.02
539	55	1133	2005.12.27
540	44	1087	2005.04.28
541	11	1191	2007.07.04
542	39	1458	2006.12.27
543	102	741	2004.05.04
544	100	1404	2008.10.07
545	7	1142	2005.10.19
546	42	1494	2004.05.12
547	44	832	2005.02.20
548	24	1071	2008.02.08
549	68	1177	2004.07.28
550	15	1113	2007.07.22
551	27	1362	2005.08.30
552	7	1079	2009.02.19
553	81	942	2007.11.07
554	4	1423	2008.05.23
555	90	989	2005.05.23
556	95	1393	2008.08.07
557	4	1487	2005.01.20
558	42	1215	2009.01.20
559	84	1258	2005.09.26
560	60	1397	2006.05.03
561	46	997	2006.04.01
562	38	1267	2008.09.03
563	72	1315	2008.06.22
564	12	1127	2005.08.21
565	40	1216	2005.12.06
566	32	914	2008.03.17
567	9	836	2008.01.31
568	73	1162	2004.05.30
569	84	979	2005.03.23
570	67	1000	2007.06.19
571	73	768	2006.07.29
572	47	844	2007.05.23
573	29	865	2004.06.03
574	59	965	2009.01.17
575	99	1086	2008.10.19
576	97	998	2008.09.07
577	34	1104	2004.06.10
578	77	880	2004.12.09
579	87	1194	2006.12.29
580	62	760	2007.06.12
581	74	1200	2009.01.26
582	25	701	2005.05.25
583	66	1254	2007.08.24
584	52	1223	2005.01.22
585	98	1074	2004.06.21
586	79	854	2007.09.26
587	13	1025	2007.06.10
588	83	1462	2005.04.04
589	53	1489	2004.05.14
590	98	1189	2006.12.31
591	47	1047	2006.11.28
592	50	868	2005.08.21
593	74	1429	2008.12.02
594	106	1185	2009.01.31
595	37	899	2008.01.17
596	84	813	2007.03.29
597	5	1029	2005.05.09
598	14	1482	2005.01.22
599	55	853	2005.06.23
600	66	1178	2006.08.27
601	42	1380	2007.01.15
602	8	1269	2007.06.15
603	23	1313	2009.02.28
604	1	1107	2005.04.20
605	35	1015	2007.06.14
606	60	1168	2006.06.27
607	26	1108	2007.07.24
608	76	957	2008.01.06
609	87	1473	2007.07.04
610	80	1375	2007.03.23
611	41	936	2005.06.02
612	50	1440	2005.10.15
613	30	826	2008.02.03
614	71	1430	2005.10.18
615	33	1143	2005.12.23
616	100	882	2004.01.28
617	3	1436	2004.05.24
618	64	975	2009.03.19
619	5	1410	2007.03.10
620	6	1486	2008.03.06
621	57	966	2005.12.03
622	48	1466	2008.03.13
623	10	798	2006.07.18
624	3	801	2007.08.02
625	61	1346	2008.10.19
626	24	740	2006.12.07
627	4	927	2009.03.27
628	60	1308	2004.02.21
629	27	1171	2007.05.07
630	99	730	2007.04.19
631	68	1088	2007.07.31
632	41	1063	2007.01.27
633	102	1072	2005.07.07
634	88	1040	2008.02.19
635	5	1449	2008.09.21
636	63	823	2007.03.26
637	79	778	2006.09.28
638	105	1223	2005.06.01
639	108	1082	2005.09.06
640	21	1034	2005.07.11
641	84	1398	2008.08.05
642	98	1379	2005.04.25
643	86	1283	2009.03.11
644	46	1061	2008.02.12
645	16	769	2005.03.06
646	60	1028	2008.10.31
647	23	753	2008.02.20
648	86	1156	2007.07.16
649	28	1132	2005.10.23
650	26	943	2004.05.15
651	96	1482	2008.09.19
652	37	1204	2008.11.20
653	15	1469	2009.01.22
654	102	1237	2008.09.14
655	100	1289	2006.03.29
656	65	1458	2007.03.02
657	14	1076	2008.02.06
658	70	1418	2006.09.03
659	40	885	2004.10.04
660	61	1079	2004.04.15
661	97	1303	2004.04.27
662	29	1119	2004.08.09
663	72	1366	2009.02.18
664	14	1241	2006.01.31
665	53	1019	2005.07.17
666	76	1008	2008.09.03
667	62	837	2008.06.08
668	100	1493	2005.10.05
669	90	1129	2008.04.01
670	25	931	2005.03.31
671	96	1342	2005.11.10
672	48	1085	2006.05.13
673	47	1289	2005.11.19
674	102	996	2004.07.10
675	67	1457	2005.01.31
676	2	1399	2004.12.09
677	56	1005	2007.06.17
678	20	1492	2005.03.24
679	109	764	2008.11.02
680	15	1164	2008.03.20
681	109	1056	2008.06.22
682	79	1324	2006.07.24
683	35	1396	2004.01.29
684	39	758	2008.04.23
685	44	972	2007.12.31
686	17	896	2006.10.30
687	80	1260	2004.09.10
688	11	835	2005.12.31
689	88	1015	2007.10.21
690	97	1328	2004.08.26
691	17	1341	2005.04.29
692	16	1456	2007.11.08
693	93	835	2004.06.14
694	50	779	2008.08.24
695	41	1126	2008.12.09
696	35	1091	2008.06.10
697	27	700	2008.07.09
698	65	1407	2006.07.04
699	45	934	2006.06.18
700	23	1389	2004.12.12
701	70	1252	2008.09.08
702	8	1129	2004.08.05
703	27	1400	2007.03.14
704	64	734	2005.01.12
705	23	893	2005.10.16
706	47	933	2004.05.19
707	56	1475	2006.04.15
708	77	1389	2005.04.21
709	16	1240	2009.03.17
710	53	1044	2005.11.14
711	45	1175	2005.06.09
712	106	1324	2006.09.27
713	40	1165	2005.04.09
714	89	862	2008.12.11
715	51	1236	2006.04.08
716	46	921	2005.04.04
717	87	914	2006.06.25
718	102	1377	2006.05.11
719	16	1430	2007.07.11
720	48	1275	2004.09.05
721	97	922	2007.09.11
722	68	973	2005.01.19
723	72	1125	2004.12.14
724	32	1486	2008.05.10
725	89	1078	2007.08.04
726	33	1206	2007.11.05
727	10	1078	2007.01.21
728	97	1418	2006.11.07
729	108	1133	2006.05.06
730	17	705	2008.07.07
731	62	976	2006.02.02
732	93	1229	2007.06.29
733	98	1405	2005.08.23
734	26	1133	2007.11.22
735	102	1161	2007.09.17
736	90	1014	2005.09.21
737	86	1321	2005.07.10
738	75	907	2007.05.09
739	22	1491	2008.05.08
740	2	1488	2007.02.19
741	38	861	2006.07.05
742	85	1195	2009.01.27
743	38	1331	2005.05.03
744	21	945	2008.07.14
745	101	920	2008.09.25
746	61	1460	2006.02.14
747	24	944	2006.06.15
748	55	1438	2006.10.31
749	95	1469	2004.05.21
750	23	728	2007.10.22
751	98	934	2006.10.26
752	35	811	2007.12.06
753	77	1084	2004.06.17
754	106	1464	2004.05.23
755	11	1280	2004.06.30
756	3	1131	2008.10.03
757	60	1473	2007.05.01
758	76	817	2005.02.26
759	90	1269	2005.11.26
760	19	1442	2004.07.26
761	105	1338	2007.12.11
762	10	874	2007.07.16
763	64	1039	2005.11.16
764	13	898	2005.10.14
765	11	721	2008.09.04
766	36	1434	2008.09.27
767	79	918	2004.05.24
768	71	769	2008.08.27
769	36	1307	2007.02.01
770	17	756	2009.03.05
771	37	849	2007.05.21
772	85	1436	2008.01.19
773	8	1345	2008.06.11
774	58	1004	2005.05.18
775	79	829	2007.05.28
776	36	1472	2005.01.26
777	34	1244	2007.04.20
778	12	1458	2006.10.23
779	9	976	2005.09.26
780	86	1397	2006.07.07
781	91	810	2006.03.15
782	50	829	2004.02.07
783	89	837	2008.08.12
784	85	965	2009.03.23
785	63	1459	2004.01.16
786	3	1170	2005.02.01
787	89	786	2007.12.15
788	32	965	2008.11.13
789	2	814	2008.10.15
790	68	1393	2008.06.03
791	104	804	2004.02.16
792	19	971	2005.09.27
793	76	1173	2006.08.29
794	4	762	2006.01.17
795	12	822	2004.10.17
796	75	1326	2005.07.08
797	102	831	2006.07.16
798	82	929	2006.08.24
799	102	1492	2008.11.19
800	33	1117	2005.08.24
801	76	792	2004.10.28
802	106	714	2005.01.19
803	33	1473	2007.02.25
804	105	982	2006.06.10
805	48	780	2005.07.10
806	35	1231	2006.02.04
807	51	766	2007.06.10
808	24	779	2008.06.20
809	14	1215	2005.10.02
810	51	1020	2007.08.16
811	3	1144	2004.10.03
812	46	1251	2006.06.06
813	82	1234	2007.06.28
814	100	1213	2005.04.01
815	98	743	2008.07.02
816	16	744	2004.11.05
817	4	877	2008.07.29
818	106	803	2007.04.02
819	26	968	2004.09.13
820	61	1130	2004.12.13
821	109	1234	2007.08.31
822	62	1472	2005.03.31
823	76	932	2007.09.07
824	64	1166	2007.07.13
825	10	1319	2006.01.12
826	6	1066	2004.10.22
827	68	847	2008.08.09
828	72	1010	2007.08.19
829	68	808	2007.01.25
830	85	775	2005.09.14
831	105	1248	2005.09.30
832	47	704	2004.07.13
833	106	1350	2007.01.26
834	39	1229	2007.02.20
835	50	1173	2006.06.25
836	8	709	2006.06.06
837	92	962	2008.03.09
838	10	772	2006.03.20
839	104	1465	2006.06.22
840	72	1201	2005.12.12
841	70	871	2006.11.08
842	17	947	2007.06.29
843	85	1131	2007.03.18
844	26	904	2008.01.15
845	14	986	2005.11.26
846	98	1099	2004.10.20
847	28	1412	2006.04.28
848	58	1284	2005.11.21
849	33	1283	2008.11.01
850	96	986	2004.05.09
851	17	782	2004.04.20
852	51	1351	2008.10.17
853	13	1114	2004.06.06
854	13	1279	2007.08.15
855	21	1110	2006.07.08
856	109	1450	2006.04.24
857	92	1204	2007.03.01
858	13	1369	2004.08.12
859	44	1443	2006.10.29
860	86	826	2006.05.14
861	70	1062	2005.03.03
862	21	843	2007.03.19
863	26	1159	2008.03.22
864	8	849	2004.01.31
865	36	1027	2006.07.29
866	75	1416	2007.09.19
867	26	1439	2008.09.25
868	19	1060	2007.12.09
869	32	889	2007.11.17
870	15	1494	2004.03.08
871	14	745	2006.12.05
872	23	1058	2008.12.24
873	35	1205	2005.10.06
874	53	764	2005.05.11
875	12	1242	2008.03.01
876	87	939	2006.10.24
877	95	1139	2008.06.02
878	50	1109	2004.08.12
879	65	721	2009.01.12
880	103	1479	2007.09.05
881	104	1046	2008.04.22
882	21	1314	2006.01.14
883	11	1001	2009.03.10
884	77	1020	2007.10.19
885	70	922	2007.07.08
886	65	1026	2004.09.02
887	106	1159	2008.10.02
888	95	923	2004.07.27
889	96	1050	2006.03.22
890	14	1381	2008.12.10
891	62	1307	2007.04.07
892	47	983	2005.01.16
893	27	790	2005.07.06
894	79	892	2004.01.25
895	85	889	2008.03.26
896	24	1300	2007.12.16
897	39	822	2004.12.21
898	59	1156	2007.05.12
899	96	719	2005.01.18
900	70	846	2006.07.10
901	97	833	2005.06.30
902	15	1062	2006.11.23
903	103	1415	2005.10.24
904	53	1095	2006.07.14
905	28	1463	2006.12.25
906	15	1253	2005.03.17
907	21	1339	2006.05.15
908	85	1004	2005.07.22
909	15	808	2006.09.18
910	45	1150	2005.02.08
911	22	1301	2004.10.31
912	97	858	2005.10.29
913	71	1404	2005.06.19
914	79	943	2004.09.22
915	47	1479	2004.03.14
916	75	1046	2005.01.02
917	9	1167	2004.01.19
918	106	943	2004.11.26
919	48	869	2007.09.20
920	32	864	2007.07.19
921	91	1421	2007.11.21
922	9	912	2009.01.27
923	103	703	2008.01.04
924	5	1054	2005.09.07
925	64	1370	2007.01.19
926	48	1365	2006.11.16
927	55	802	2004.10.24
928	11	975	2008.11.09
929	8	1205	2005.08.02
930	103	1199	2007.03.02
931	77	1325	2008.08.22
932	8	1371	2008.10.10
933	77	995	2007.06.21
934	72	1391	2004.04.05
935	103	1275	2008.02.28
936	36	1103	2007.07.26
937	106	879	2008.03.29
938	20	1302	2006.11.30
939	47	1009	2005.05.16
940	36	912	2004.01.18
941	63	1319	2006.05.22
942	77	1249	2007.08.26
943	50	804	2008.12.22
944	46	1442	2004.09.29
945	98	1214	2007.05.01
946	22	1377	2005.10.28
947	24	1134	2004.10.07
948	17	807	2004.08.19
949	23	1224	2006.12.19
950	38	1357	2005.08.31
951	39	1254	2007.06.20
952	98	1239	2007.08.30
953	65	772	2004.06.27
954	79	994	2005.05.22
955	5	1270	2004.04.30
956	38	1166	2007.05.09
957	27	1031	2004.06.27
958	36	1243	2005.03.21
959	2	713	2007.06.20
960	103	728	2008.05.04
961	75	1161	2007.07.14
962	63	1053	2007.01.30
963	70	1011	2004.07.04
964	89	1282	2007.02.10
965	98	1023	2009.01.05
966	103	1148	2006.07.04
967	20	1047	2006.09.25
968	58	1144	2008.03.27
969	58	839	2007.05.24
970	64	1115	2006.11.13
971	87	1384	2005.04.23
972	68	1152	2004.03.29
973	106	969	2005.03.27
974	46	781	2007.08.09
975	96	960	2009.03.25
976	63	1014	2005.07.18
977	85	1309	2006.05.26
978	70	1456	2008.03.17
979	91	1382	2006.05.09
980	36	1052	2006.11.27
981	24	1185	2005.06.05
982	37	1115	2006.09.09
983	101	1250	2004.09.14
984	85	1245	2004.07.13
985	82	904	2006.04.25
986	91	1255	2004.09.12
987	50	1274	2007.10.21
988	59	1105	2006.09.13
989	14	936	2005.03.29
990	28	827	2004.12.19
991	44	1392	2006.03.01
992	46	1302	2007.02.03
993	59	711	2008.11.12
994	91	785	2005.11.15
995	32	1029	2005.07.13
996	47	1314	2006.03.20
997	89	1167	2004.08.01
998	64	785	2005.09.11
999	28	1272	2008.09.01
1000	100	1073	2007.08.06
1001	55	713	2007.10.28
1002	79	1184	2008.11.27
1003	90	760	2005.07.17
1004	28	1107	2005.06.24
1005	51	816	2008.02.07
1006	89	722	2006.02.01
1007	17	871	2006.07.01
1008	45	1239	2007.04.22
1009	37	1420	2007.07.14
1010	89	1002	2006.08.07
1011	28	1323	2004.02.15
1012	12	1077	2004.12.22
1013	35	926	2005.04.02
1014	44	1277	2008.11.03
1015	6	1372	2005.08.26
1016	90	824	2007.05.30
1017	36	887	2008.12.02
1018	100	742	2006.06.03
1019	44	1303	2009.03.04
1020	5	1105	2006.05.06
1021	97	1202	2008.03.16
1022	101	805	2006.03.17
1023	19	704	2006.06.08
