id	hallgatoid	datum	lap	oldal
286	44	2012.09.12	15	1
287	78	2012.09.13	2	2
288	33	2012.09.13	9	1
289	24	2012.09.13	22	1
290	49	2012.09.13	16	1
291	60	2012.09.13	28	2
292	5	2012.09.13	16	2
293	24	2012.09.13	2	1
294	38	2012.09.13	19	2
295	58	2012.09.13	29	2
296	29	2012.09.13	15	2
297	61	2012.09.13	20	1
298	92	2012.09.13	28	2
299	91	2012.09.13	11	1
300	10	2012.09.13	6	1
301	49	2012.09.14	29	1
302	74	2012.09.14	6	2
303	37	2012.09.14	29	1
304	53	2012.09.14	8	1
305	14	2012.09.14	13	1
306	16	2012.09.14	14	1
307	16	2012.09.14	20	2
308	83	2012.09.14	8	2
309	75	2012.09.14	10	2
310	3	2012.09.14	5	1
311	88	2012.09.14	22	2
312	67	2012.09.14	23	1
313	81	2012.09.14	28	2
314	90	2012.09.14	22	1
315	5	2012.09.14	14	1
316	59	2012.09.14	26	2
317	12	2012.09.14	5	1
318	58	2012.09.14	9	1
319	1	2012.09.14	27	1
320	44	2012.09.14	4	1
321	61	2012.09.14	30	2
322	66	2012.09.14	28	1
323	68	2012.09.14	1	1
324	25	2012.09.14	21	1
325	61	2012.09.14	27	2
326	11	2012.09.14	1	1
327	30	2012.09.14	20	1
328	91	2012.09.14	20	1
329	86	2012.09.14	10	1
330	48	2012.09.14	8	1
331	30	2012.09.14	28	2
332	48	2012.09.14	21	2
333	14	2012.09.14	24	1
334	45	2012.09.14	17	2
335	28	2012.09.14	3	2
336	58	2012.09.14	4	2
337	56	2012.09.14	1	1
338	37	2012.09.14	30	2
339	9	2012.09.14	23	1
340	46	2012.09.14	30	1
341	57	2012.09.14	4	2
342	1	2012.09.14	30	1
343	49	2012.09.14	22	1
344	14	2012.09.14	20	2
345	84	2012.09.14	10	1
346	17	2012.09.14	6	1
347	2	2012.09.14	26	2
348	42	2012.09.14	8	2
349	55	2012.09.14	15	1
350	80	2012.09.14	12	1
351	19	2012.09.14	13	2
352	26	2012.09.14	11	2
353	42	2012.09.14	25	1
354	10	2012.09.15	13	1
355	18	2012.09.15	23	2
356	56	2012.09.15	29	1
357	86	2012.09.15	28	2
358	34	2012.09.16	19	1
359	51	2012.09.16	19	2
360	46	2012.09.16	26	2
361	60	2012.09.16	13	1
362	37	2012.09.16	13	2
363	12	2012.09.16	8	1
364	19	2012.09.17	30	1
365	43	2012.09.17	8	1
366	51	2012.09.17	4	2
367	86	2012.09.17	21	1
368	3	2012.09.17	4	1
369	90	2012.09.17	7	1
370	36	2012.09.17	2	1
371	74	2012.09.17	4	1
372	62	2012.09.17	25	1
373	85	2012.09.17	3	2
374	23	2012.09.17	27	1
375	89	2012.09.17	1	1
376	7	2012.09.17	5	1
377	71	2012.09.17	27	1
378	30	2012.09.17	25	1
379	54	2012.09.17	24	2
380	6	2012.09.17	12	1
381	11	2012.09.17	6	1
382	39	2012.09.17	24	1
383	76	2012.09.17	15	2
384	6	2012.09.17	3	2
385	27	2012.09.17	24	2
386	15	2012.09.17	24	1
387	72	2012.09.17	14	1
388	54	2012.09.17	29	2
389	64	2012.09.17	5	1
390	35	2012.09.17	14	1
391	15	2012.09.17	22	2
392	80	2012.09.17	16	1
393	79	2012.09.17	27	1
394	42	2012.09.17	11	1
395	11	2012.09.17	2	2
396	64	2012.09.17	3	1
397	60	2012.09.17	6	2
398	73	2012.09.17	8	2
399	21	2012.09.17	21	1
400	83	2012.09.17	27	1
401	38	2012.09.17	12	1
402	66	2012.09.17	11	1
403	25	2012.09.17	6	1
404	7	2012.09.17	23	1
405	16	2012.09.17	15	1
406	54	2012.09.17	14	1
407	67	2012.09.17	26	1
408	68	2012.09.17	22	2
409	65	2012.09.17	30	2
410	84	2012.09.17	29	2
411	77	2012.09.18	12	2
412	92	2012.09.18	2	1
413	82	2012.09.18	7	1
414	86	2012.09.18	5	1
415	40	2012.09.19	18	1
416	87	2012.09.19	7	1
417	22	2012.09.19	11	2
418	11	2012.09.19	15	1
419	55	2012.09.19	3	2
420	14	2012.09.19	4	2
421	46	2012.09.19	4	1
422	37	2012.09.19	21	1
423	29	2012.09.19	21	1
424	90	2012.09.19	29	1
425	80	2012.09.19	7	1
426	62	2012.09.19	22	2
427	89	2012.09.19	25	1
428	44	2012.09.19	5	1
429	62	2012.09.19	23	2
430	61	2012.09.19	5	1
431	57	2012.09.19	8	2
432	24	2012.09.19	30	1
433	35	2012.09.19	8	2
434	63	2012.09.19	4	1
435	50	2012.09.19	4	2
436	11	2012.09.19	2	2
437	10	2012.09.19	26	2
438	68	2012.09.19	20	2
439	12	2012.09.19	8	1
440	57	2012.09.19	21	1
441	15	2012.09.19	7	1
442	78	2012.09.19	26	1
443	91	2012.09.19	28	1
444	43	2012.09.19	22	1
445	5	2012.09.20	25	1
446	13	2012.09.20	12	1
447	66	2012.09.20	29	1
448	62	2012.09.20	8	1
449	3	2012.09.20	2	1
450	16	2012.09.20	25	1
451	39	2012.09.20	2	1
452	20	2012.09.20	23	1
453	61	2012.09.20	28	1
454	9	2012.09.20	15	1
455	26	2012.09.20	12	1
456	33	2012.09.20	23	1
457	53	2012.09.20	1	1
458	79	2012.09.20	15	1
459	73	2012.09.20	18	1
460	64	2012.09.21	16	1
461	21	2012.09.21	5	1
462	80	2012.09.21	30	1
463	22	2012.09.21	20	1
464	11	2012.09.21	2	1
465	45	2012.09.21	25	1
466	5	2012.09.21	8	2
467	33	2012.09.21	5	1
468	2	2012.09.21	27	1
469	63	2012.09.22	14	1
470	80	2012.09.22	15	1
471	7	2012.09.22	27	2
472	10	2012.09.22	7	1
473	67	2012.09.22	13	1
474	6	2012.09.22	7	1
475	72	2012.09.22	3	2
476	45	2012.09.22	7	1
477	38	2012.09.22	21	1
478	62	2012.09.22	17	1
479	36	2012.09.22	10	1
480	66	2012.09.22	1	1
481	82	2012.09.22	25	1
482	64	2012.09.22	28	1
483	74	2012.09.22	1	1
484	89	2012.09.22	17	1
485	38	2012.09.22	19	1
486	77	2012.09.22	19	2
487	40	2012.09.22	8	1
488	11	2012.09.22	25	1
489	15	2012.09.22	22	1
490	81	2012.09.22	23	1
491	64	2012.09.22	24	1
492	67	2012.09.22	10	1
493	17	2012.09.22	29	1
494	81	2012.09.22	21	1
495	14	2012.09.23	1	1
496	5	2012.09.23	17	1
497	9	2012.09.24	20	2
498	29	2012.09.24	7	2
499	82	2012.09.24	30	1
500	73	2012.09.24	10	2
501	20	2012.09.24	8	1
502	46	2012.09.24	26	1
503	37	2012.09.24	1	1
504	3	2012.09.24	5	1
505	74	2012.09.24	9	1
506	56	2012.09.24	20	2
507	40	2012.09.24	13	1
508	59	2012.09.25	5	1
509	92	2012.09.25	2	1
510	60	2012.09.25	28	1
511	24	2012.09.25	10	1
512	3	2012.09.25	10	1
513	51	2012.09.25	23	1
514	63	2012.09.25	13	1
515	31	2012.09.25	9	2
516	61	2012.09.25	4	2
517	56	2012.09.25	19	2
518	47	2012.09.25	28	1
519	28	2012.09.25	30	1
520	31	2012.09.25	11	1
521	36	2012.09.25	1	2
522	1	2012.09.25	13	1
523	3	2012.09.25	6	1
524	15	2012.09.25	21	2
525	43	2012.09.25	6	1
526	71	2012.09.25	8	1
527	46	2012.09.25	9	1
528	41	2012.09.25	12	1
529	92	2012.09.25	29	1
530	24	2012.09.25	26	1
531	56	2012.09.25	17	1
532	9	2012.09.25	6	2
533	22	2012.09.25	3	1
534	78	2012.09.25	1	2
535	60	2012.09.25	16	1
536	16	2012.09.25	7	1
537	44	2012.09.25	19	1
538	69	2012.09.25	27	2
539	45	2012.09.26	6	2
540	71	2012.09.26	2	1
541	66	2012.09.26	3	2
542	76	2012.09.26	27	2
543	71	2012.09.26	23	1
544	74	2012.09.26	23	1
545	79	2012.09.26	6	2
546	6	2012.09.26	17	2
547	78	2012.09.26	30	1
548	65	2012.09.26	4	2
549	80	2012.09.26	22	1
550	42	2012.09.26	25	1
551	10	2012.09.26	25	1
552	45	2012.09.26	3	2
553	60	2012.09.26	16	1
554	38	2012.09.26	18	2
555	7	2012.09.27	19	1
556	45	2012.09.27	6	1
557	86	2012.09.27	26	1
558	60	2012.09.27	16	2
559	34	2012.09.27	26	2
560	62	2012.09.27	15	2
561	68	2012.09.27	11	2
562	54	2012.09.27	9	1
563	65	2012.09.27	22	1
564	71	2012.09.27	15	1
565	31	2012.09.27	1	1
566	73	2012.09.27	19	1
567	80	2012.09.27	25	1
568	28	2012.09.27	3	2
569	81	2012.09.27	14	1
570	2	2012.09.27	30	1
571	8	2012.09.27	6	1
572	44	2012.09.27	27	1
573	42	2012.09.27	6	1
574	45	2012.09.27	22	1
575	48	2012.09.27	21	1
576	10	2012.09.27	1	2
577	84	2012.09.27	2	1
578	16	2012.09.28	16	2
579	62	2012.09.28	27	1
580	42	2012.09.28	7	1
581	73	2012.09.28	1	1
582	63	2012.09.28	9	1
583	64	2012.09.28	29	1
584	29	2012.09.28	26	1
585	71	2012.09.28	4	2
586	88	2012.09.28	18	2
587	87	2012.09.28	9	2
588	67	2012.09.28	6	1
589	13	2012.09.28	26	1
590	53	2012.09.28	22	1
591	34	2012.09.28	18	1
592	57	2012.09.28	5	2
593	25	2012.09.28	20	2
594	16	2012.09.28	29	1
595	84	2012.09.28	7	1
596	92	2012.09.28	26	1
597	51	2012.09.28	8	1
598	38	2012.09.28	8	2
599	67	2012.09.28	29	1
600	77	2012.09.28	17	2
601	56	2012.09.28	16	2
602	64	2012.09.28	11	1
603	79	2012.09.28	20	1
604	42	2012.09.28	21	1
605	45	2012.09.29	16	1
606	82	2012.09.29	27	1
607	54	2012.09.29	23	1
608	88	2012.09.29	9	2
609	65	2012.09.29	14	1
610	19	2012.09.29	13	1
611	45	2012.09.29	21	2
612	28	2012.09.30	14	2
613	56	2012.09.30	4	2
614	72	2012.09.30	13	1
615	48	2012.09.30	26	1
616	20	2012.09.30	26	1
617	90	2012.09.30	19	1
618	76	2012.09.30	16	2
619	19	2012.09.30	11	1
620	28	2012.09.30	11	1
621	48	2012.09.30	5	1
622	84	2012.09.30	23	1
623	50	2012.09.30	3	2
624	22	2012.09.30	10	1
625	21	2012.09.30	9	2
626	73	2012.09.30	7	1
627	85	2012.09.30	13	1
628	91	2012.09.30	12	2
629	70	2012.09.30	24	1
630	73	2012.10.01	7	1
631	8	2012.10.01	17	1
632	48	2012.10.01	29	1
633	60	2012.10.01	10	1
634	37	2012.10.01	22	2
635	68	2012.10.01	30	1
636	64	2012.10.01	19	1
637	35	2012.10.01	14	1
638	1	2012.10.01	10	1
639	30	2012.10.01	6	1
640	75	2012.10.01	26	1
641	84	2012.10.01	28	2
642	14	2012.10.01	24	1
643	86	2012.10.01	12	1
644	31	2012.10.01	20	1
645	52	2012.10.01	20	2
646	35	2012.10.01	27	2
647	68	2012.10.01	4	1
648	88	2012.10.01	19	1
649	16	2012.10.01	25	1
650	39	2012.10.01	21	1
651	51	2012.10.01	4	1
652	8	2012.10.01	2	2
653	29	2012.10.01	2	2
654	90	2012.10.01	8	2
655	75	2012.10.01	25	1
656	31	2012.10.01	17	1
657	75	2012.10.01	4	1
658	53	2012.10.01	2	1
659	79	2012.10.01	30	1
660	77	2012.10.01	12	1
661	81	2012.10.01	2	2
662	29	2012.10.01	23	1
663	63	2012.10.01	30	2
664	10	2012.10.01	17	1
665	21	2012.10.01	13	1
666	36	2012.10.01	9	1
667	85	2012.10.01	17	1
668	24	2012.10.01	26	1
669	40	2012.10.01	17	2
670	51	2012.10.01	7	1
671	82	2012.10.01	12	1
672	68	2012.10.01	16	1
673	2	2012.10.01	8	1
674	42	2012.10.01	15	1
675	51	2012.10.01	15	2
676	43	2012.10.02	21	2
677	34	2012.10.02	5	1
678	51	2012.10.02	26	1
679	24	2012.10.02	5	1
680	67	2012.10.02	12	1
681	1	2012.10.02	28	1
682	36	2012.10.02	29	1
683	51	2012.10.02	14	2
684	75	2012.10.02	23	2
685	50	2012.10.02	13	1
686	63	2012.10.02	26	1
687	55	2012.10.02	27	2
688	2	2012.10.02	27	2
689	28	2012.10.02	11	1
690	8	2012.10.02	24	1
691	41	2012.10.02	3	1
692	75	2012.10.02	12	1
693	29	2012.10.02	24	1
694	48	2012.10.02	24	1
695	21	2012.10.02	23	1
696	37	2012.10.02	30	2
697	88	2012.10.02	7	1
698	75	2012.10.02	12	2
699	40	2012.10.02	1	2
700	39	2012.10.02	15	2
701	33	2012.10.02	3	1
702	18	2012.10.02	15	1
703	66	2012.10.02	9	2
704	24	2012.10.02	27	2
705	14	2012.10.02	14	1
706	57	2012.10.02	23	1
707	60	2012.10.02	14	1
708	91	2012.10.02	12	1
709	44	2012.10.02	4	1
710	78	2012.10.02	10	1
711	67	2012.10.02	12	1
712	24	2012.10.02	30	1
713	83	2012.10.02	29	1
714	36	2012.10.02	9	1
715	66	2012.10.02	3	1
716	74	2012.10.02	9	2
717	60	2012.10.02	6	1
718	20	2012.10.02	4	2
719	10	2012.10.02	29	1
720	74	2012.10.02	24	1
721	13	2012.10.02	14	1
722	66	2012.10.02	14	1
723	72	2012.10.02	3	1
724	38	2012.10.02	26	2
725	63	2012.10.02	29	1
726	4	2012.10.02	11	1
727	49	2012.10.02	20	2
728	18	2012.10.02	25	1
729	7	2012.10.02	24	1
730	30	2012.10.02	17	1
731	69	2012.10.02	11	1
732	15	2012.10.02	27	2
733	49	2012.10.02	8	2
734	23	2012.10.02	19	1
735	90	2012.10.02	19	2
736	22	2012.10.02	11	2
737	6	2012.10.02	27	2
738	74	2012.10.02	10	1
739	19	2012.10.02	22	1
740	89	2012.10.02	12	1
741	46	2012.10.02	9	1
742	54	2012.10.02	22	2
743	8	2012.10.02	19	1
744	44	2012.10.02	6	1
745	27	2012.10.02	30	1
746	65	2012.10.02	22	1
747	46	2012.10.02	7	1
748	2	2012.10.02	10	1
749	92	2012.10.02	21	2
750	85	2012.10.02	13	1
751	55	2012.10.02	10	1
752	24	2012.10.02	8	1
753	73	2012.10.02	18	1
754	64	2012.10.02	6	1
755	29	2012.10.02	6	2
756	25	2012.10.02	18	1
757	31	2012.10.02	3	1
758	53	2012.10.02	25	1
759	9	2012.10.02	1	2
760	18	2012.10.02	9	1
761	45	2012.10.02	8	1
762	75	2012.10.02	9	1
763	48	2012.10.02	11	1
764	9	2012.10.02	25	2
765	27	2012.10.02	28	1
766	18	2012.10.02	24	2
767	14	2012.10.02	5	1
768	70	2012.10.02	25	1
769	73	2012.10.02	1	2
770	29	2012.10.02	12	1
771	80	2012.10.02	10	2
772	61	2012.10.03	9	1
773	83	2012.10.03	29	1
774	88	2012.10.03	18	1
775	85	2012.10.03	14	1
776	15	2012.10.03	12	1
777	6	2012.10.03	12	1
778	91	2012.10.03	3	1
779	20	2012.10.03	27	1
780	4	2012.10.03	9	1
781	3	2012.10.03	12	1
782	55	2012.10.03	12	2
783	54	2012.10.03	26	1
784	16	2012.10.03	10	2
785	41	2012.10.03	23	2
786	60	2012.10.03	15	2
787	82	2012.10.03	27	1
788	31	2012.10.03	21	1
789	36	2012.10.03	25	1
790	7	2012.10.03	22	2
791	68	2012.10.03	16	1
792	55	2012.10.03	7	1
793	38	2012.10.03	4	1
794	37	2012.10.03	23	1
795	84	2012.10.03	17	2
796	71	2012.10.03	13	1
797	86	2012.10.03	10	1
798	10	2012.10.03	21	1
799	22	2012.10.03	15	2
800	52	2012.10.03	27	1
801	15	2012.10.03	22	1
802	81	2012.10.03	5	1
803	60	2012.10.04	8	1
804	10	2012.10.04	9	2
805	39	2012.10.04	19	1
806	14	2012.10.04	30	2
807	7	2012.10.05	29	1
808	26	2012.10.05	20	1
809	8	2012.10.05	1	1
810	87	2012.10.05	21	1
811	49	2012.10.05	7	1
812	77	2012.10.05	16	1
813	72	2012.10.05	14	1
814	41	2012.10.05	2	1
815	57	2012.10.05	10	1
816	70	2012.10.05	16	2
817	76	2012.10.05	23	2
818	66	2012.10.05	12	1
819	7	2012.10.05	12	2
820	67	2012.10.05	22	2
821	47	2012.10.05	17	1
822	89	2012.10.05	11	1
823	43	2012.10.05	28	1
824	69	2012.10.05	16	1
825	6	2012.10.05	17	2
826	31	2012.10.05	19	1
827	25	2012.10.05	25	1
828	63	2012.10.05	28	2
829	46	2012.10.05	18	1
830	79	2012.10.05	2	1
831	7	2012.10.05	28	2
832	23	2012.10.05	12	1
833	2	2012.10.05	23	2
834	54	2012.10.05	17	1
835	48	2012.10.05	2	1
836	51	2012.10.05	4	1
837	7	2012.10.05	10	2
838	4	2012.10.05	23	1
839	59	2012.10.05	28	1
840	68	2012.10.05	20	1
841	41	2012.10.05	18	1
842	91	2012.10.05	15	2
843	22	2012.10.05	16	1
844	90	2012.10.06	13	1
845	19	2012.10.06	27	1
846	54	2012.10.06	18	1
847	53	2012.10.06	6	1
848	19	2012.10.06	7	1
849	83	2012.10.06	9	1
850	79	2012.10.06	30	2
851	84	2012.10.06	5	2
852	87	2012.10.06	28	2
853	68	2012.10.06	25	1
854	8	2012.10.06	12	1
855	64	2012.10.06	14	1
856	63	2012.10.06	11	1
857	10	2012.10.06	5	1
858	45	2012.10.06	13	1
859	90	2012.10.06	10	1
860	52	2012.10.06	16	1
861	90	2012.10.06	25	2
862	80	2012.10.06	10	1
863	13	2012.10.06	24	1
864	24	2012.10.06	21	1
865	21	2012.10.06	20	2
866	84	2012.10.07	21	1
867	69	2012.10.07	19	1
868	3	2012.10.07	6	2
869	46	2012.10.07	11	1
870	76	2012.10.07	27	1
871	21	2012.10.07	23	1
872	54	2012.10.07	4	1
873	27	2012.10.07	22	1
874	22	2012.10.08	19	2
875	73	2012.10.09	7	2
876	48	2012.10.09	6	2
877	14	2012.10.09	13	2
878	15	2012.10.09	17	2
879	54	2012.10.09	17	1
880	11	2012.10.09	12	1
881	2	2012.10.09	30	1
882	22	2012.10.09	3	2
883	12	2012.10.09	25	1
884	20	2012.10.09	3	1
885	87	2012.10.09	10	2
886	27	2012.10.10	20	1
887	85	2012.10.10	21	1
888	27	2012.10.10	13	1
889	63	2012.10.10	4	1
890	16	2012.10.10	18	2
891	46	2012.10.10	19	1
892	66	2012.10.10	5	2
893	66	2012.10.10	12	1
894	45	2012.10.10	24	1
895	34	2012.10.10	2	1
896	55	2012.10.10	4	1
897	42	2012.10.10	9	1
898	35	2012.10.10	21	1
899	74	2012.10.10	9	1
900	67	2012.10.10	2	1
901	30	2012.10.10	1	1
902	24	2012.10.10	13	1
903	82	2012.10.10	8	2
904	50	2012.10.10	1	1
905	70	2012.10.10	2	1
906	5	2012.10.10	8	2
907	85	2012.10.10	20	2
908	23	2012.10.10	30	1
909	43	2012.10.10	23	2
910	25	2012.10.11	1	1
911	71	2012.10.11	2	1
912	31	2012.10.11	9	2
913	35	2012.10.12	11	1
914	62	2012.10.12	28	2
915	43	2012.10.12	23	2
916	44	2012.10.12	4	2
917	51	2012.10.12	22	2
918	68	2012.10.12	15	2
919	52	2012.10.12	1	2
920	36	2012.10.12	4	1
921	63	2012.10.12	23	1
922	59	2012.10.12	17	2
923	90	2012.10.12	1	2
924	7	2012.10.12	5	1
925	69	2012.10.12	30	1
926	63	2012.10.12	29	1
927	49	2012.10.12	7	2
928	9	2012.10.12	13	2
929	51	2012.10.12	5	2
930	71	2012.10.12	29	2
